ID,Zotero_Key,Author_Year,Title,AI_Literacies,Generative_KI,Prompting,KI_Sonstige,Soziale_Arbeit,Bias_Ungleichheit,Gender,Diversitaet,Feministisch,Fairness,Decision,Exclusion_Reason,Studientyp,LLM_Confidence,LLM_Reasoning
19,BBLJ4RG3,Kong et al. (2024),Developing an artificial intelligence literacy framework: Evaluation of a literacy course for senior secondary students using a project-based learning approach,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.75,"Das Paper behandelt AI Literacy (Framework-Entwicklung und Kursevaluation für Sekundarschüler mit projektbasiertem Lernen), erfüllt damit die TECHNIK-Bedingung. Jedoch fehlt der SOZIAL-Aspekt: Kein Bezug zu Soziale_Arbeit, Bias_Ungleichheit, Gender, Diversität, feministischer Theorie oder Fairness erkennbar. Es handelt sich um ein bildungswissenschaftliches Paper ohne relevante soziale Dimensionen im Sinne der Reviewkriterien."
20,FJQ6XYHH,Kong et al. (2025),Artificial Intelligence (AI) literacy – an argument for AI literacy in education,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Unclear,0.55,"Das Paper behandelt AI Literacy im Bildungskontext (TECHNIK_OK). Jedoch fehlt eine soziale Dimension: kein Bezug zu sozialer Arbeit, Bias, Gender, Diversität, feministischen Perspektiven oder Fairness erkennbar. Da kein Abstract verfügbar ist und nur der Titel vorliegt, bleibt Unsicherheit. Ohne SOZIAL_OK ist Exclude die logische Folge."
21,JMAWNUEV,Jin et al. (2025),GLAT: The generative AI literacy assessment test,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Unclear,0.5,"Das Paper entwickelt einen Assessment-Test (GLAT) für Generative KI Literacy. Es erfüllt die TECHNIK-Bedingung (AI_Literacies, Generative_KI), jedoch fehlt ein sozialer Bezug (Soziale_Arbeit, Bias, Gender, Diversität, Fairness). Ohne Abstract sind Inhalte begrenzt beurteilbar, aber der Titel deutet auf ein reines Kompetenz-Messinstrument ohne sozialen/ethischen Fokus hin. SOZIAL_OK nicht erfüllt."
22,7U29SIC8,Sperling et al. (2024),In search of artificial intelligence (AI) literacy in teacher education: A scoping review,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.75,"Das Paper behandelt AI Literacy in der Lehrerbildung als Scoping Review – TECHNIK_OK durch AI_Literacies. Jedoch ist kein SOZIAL-Kriterium erfüllt: Kein Bezug zu Sozialer Arbeit, Bias/Ungleichheit, Gender, Diversität, feministischer Theorie oder algorithmischer Fairness erkennbar. Der Fokus liegt auf pädagogischer Ausbildung allgemein, nicht auf sozialarbeiterischen Kontexten. Daher Exclude."
23,3K9RDWLY,Pinski & Benlian (2023),AI Literacy - Towards Measuring Human Competency in Artificial Intelligence,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Konzept,0.65,"Das Paper behandelt AI Literacy und die Messung menschlicher KI-Kompetenz (TECHNIK_OK). Jedoch fehlt ein sozialer Bezug zu Soziale_Arbeit, Bias, Gender, Diversität, feministischen Perspektiven oder Fairness. Der Fokus liegt auf der Kompetenzmessung ohne erkennbaren sozialen oder gleichheitsbezogenen Kontext. Kein Abstract verfügbar erschwert die Bewertung, aber Titel allein deutet auf kein SOZIAL-Kriterium hin."
24,2SNYUZG4,Yan et al. (2024),Promises and challenges of generative artificial intelligence for human learning,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Unclear,0.5,"Das Paper behandelt generative KI im Kontext menschlichen Lernens (Bildungsbereich). Obwohl AI_Literacies und Generative_KI bejaht werden, fehlt ein soziales Kriterium (kein Bezug zu Sozialer Arbeit, Bias, Gender, Diversität, Feminismus oder Fairness). Ohne Abstract ist die Bewertung unsicher, aber der Titel deutet auf allgemeine Bildungsforschung ohne spezifischen sozialen Fokus hin. TECHNIK_OK, aber SOZIAL nicht erfüllt."
25,SE579V7B,Ng et al. (2021),Conceptualizing AI literacy: An exploratory review,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.7,"Das Paper konzeptualisiert AI Literacy (TECHNIK_OK), behandelt aber keine soziale Dimension (Soziale_Arbeit, Bias, Gender, Diversität, Fairness, Feministisch). Es fehlt die SOZIAL-Bedingung für einen Include. Reine Konzeptualisierung von KI-Kompetenzen ohne sozialen/kritischen Kontext erfüllt nur eine der zwei Bedingungen."
26,KI9GRGHB,Marjanovic et al. (2022),Theorising algorithmic justice,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Include,,Theoretisch,0.97,"Das Paper entwickelt ein theoretisches Framework zu algorithmischer Gerechtigkeit bei automatisierten Entscheidungssystemen (KI_Sonstige) mit explizitem Bezug zu Wohlfahrtsdienstleistungen/Social Welfare (Soziale_Arbeit). Es behandelt substantiell Bias und Diskriminierung marginalisierter Gruppen (Bias_Ungleichheit), Fairness-Konzepte (Fairness) und Inklusion vulnerabler Populationen (Diversitaet). Beide Bedingungen (TECHNIK + SOZIAL) sind klar erfüllt."
27,AMYZFAPH,Perron et al. (2023),Recommendations for social work researchers and journal editors on the use of generative AI and large language models,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Include,,Konzept,0.95,"Das Paper richtet sich explizit an Soziale-Arbeit-Forschende und Journalredakteure und behandelt den Einsatz generativer KI/LLMs in der sozialarbeiterischen Forschungspraxis. Prompt Engineering wird als substantielles Thema adressiert. AI Literacy (kritische Auseinandersetzung mit KI-Outputs) ist zentral. Alle drei Technik-Kategorien (Generative_KI, Prompting, AI_Literacies) sowie Soziale_Arbeit sind klar erfüllt."
28,VSZM7CT6,Hodgson et al. (2022),"Problematising artificial intelligence in social work education: Challenges, issues and possibilities",Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Include,,Theoretisch,0.95,"Das Paper behandelt substantiell KI-Kompetenzen (AI Literacy) im Kontext der Sozialen Arbeit, kritische digitale Literacies und die Ausbildungsfragen in der Sozialen Arbeit. Es thematisiert ungleiche Machtverteilungen durch technologischen Wandel (Bias_Ungleichheit). Beide Bedingungen (TECHNIK: AI_Literacies + KI_Sonstige; SOZIAL: Soziale_Arbeit + Bias_Ungleichheit) sind erfüllt."
29,EXRF5629,Spaulding et al. (2023),Predicting successful placements for youth in child welfare with machine learning,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Include,,Empirisch,0.88,"Das Paper nutzt klassisches Machine Learning (Gradient Boosting) für hochrangige Platzierungsentscheidungen in der Jugendhilfe – ein algorithmisches Entscheidungssystem im Sozialbereich. Direkter Bezug zur sozialarbeiterischen Praxis (Child Welfare, Jugendhilfe, Placement-Entscheidungen nach Family First Prevention Services Act). Beide Bedingungen (TECHNIK: KI_Sonstige; SOZIAL: Soziale_Arbeit) sind erfüllt."
30,NSI6S5QE,National Association of Social Workers et al. (2017),"NASW, ASWB, CSWE, & CSWA standards for technology in social work practice",Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Konzept,0.85,"Das Dokument behandelt Technologiestandards für die Soziale Arbeit (NASW et al. 2017), hat aber keinen substantiellen KI-Fokus. Es adressiert allgemeine Technologiefragen wie Datenschutz, Dokumentation und Kompetenz. Obwohl der Abstract erwähnt, es sei 'applicable to AI technologies', fehlt ein direkter KI/ML-Bezug. Die TECHNIK-Bedingung (AI_Literacies, Generative_KI, Prompting, KI_Sonstige) ist nicht erfüllt, daher Exclude."
31,7FEFMCBZ,Cheng et al. (2022),How child welfare workers reduce racial disparities in algorithmic decisions,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Include,,Empirisch,0.98,"Das Paper untersucht den Allegheny Family Screening Tool (algorithmisches Risikobewertungssystem) im Kinderschutz (Soziale Arbeit). Es analysiert explizit Racial Bias durch verzerrte Trainingsdaten (Bias_Ungleichheit), die Fairness-Auswirkungen menschlicher Korrekturen algorithmischer Entscheidungen (Fairness) und die Praxis von Sozialarbeiter:innen in der Jugendhilfe. Alle drei Bedingungen – KI_Sonstige, Soziale_Arbeit, Bias_Ungleichheit – sind klar erfüllt."
32,LR8Z3YHP,Wadmann & Hoeyer (2020),'Meaningless work': How the datafication of health reconfigures knowledge about work and erodes professional judgement,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.92,"Das Paper behandelt Datafizierung und Digitalisierung im Gesundheitswesen aus einer kritisch-ethnografischen Perspektive. Es fokussiert auf professionelles Urteilsvermögen und sinnentleerte Arbeit durch Dokumentationspflichten, nicht jedoch auf KI/ML-Systeme oder algorithmische Entscheidungsfindung. Kein Bezug zu Sozialer Arbeit, Gender, Bias oder Fairness im KI-Kontext. Die Technik-Bedingung ist nicht erfüllt."
33,P4YQIKJX,Li et al. (2023),Ethics & AI: A systematic review on ethical concerns and related strategies for designing with AI in healthcare,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Include,,Literaturreview,0.75,"Das Paper ist ein systematischer Review zu ethischen Fragen von KI im Gesundheitswesen (KI_Sonstige). Es behandelt substantiell algorithmischen Bias/Diskriminierung (Bias_Ungleichheit) und algorithmische Fairness als Kernthemen (Fairness). Kein direkter Soziale_Arbeit-Bezug, aber die soziale Relevanz durch Bias/Fairness-Fokus erfüllt das SOZIAL-Kriterium. TECHNIK_OK und SOZIAL_OK sind beide erfüllt."
34,R7V99ERA,Field et al. (2023),Examining risks of racial biases in NLP tools for child protective services,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Include,,Empirisch,0.98,"Das Paper untersucht algorithmischen Racial Bias in NLP-Systemen (KI_Sonstige) für die Kinder- und Jugendhilfe (Soziale_Arbeit). Es demonstriert systematische Diskriminierung (Bias_Ungleichheit) gegenüber Familien of Color (Diversitaet) durch sprachliche Verzerrungen in automatisierten Risikoabwägungssystemen. Fairness ist zentral, da Fairness-relevante Unterschiede in Risikovorhersagen analysiert werden. Beide Bedingungen (TECHNIK und SOZIAL) sind klar erfüllt."
35,4ZL5Q48E,Jarrahi et al. (2021),Algorithmic management in a work context,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Include,,Theoretisch,0.75,"Das Paper behandelt algorithmisches Management als soziotechnisches Phänomen (KI_Sonstige) und analysiert kritisch Machtstrukturen, Deskilling, Überwachung und Entfremdung in algorithmisch gesteuerten Arbeitskontexten (Bias_Ungleichheit). Kein direkter Soziale_Arbeit-Bezug, aber substantielle Auseinandersetzung mit strukturellen Ungleichheiten und Machtverhältnissen durch algorithmische Systeme. TECHNIK_OK und SOZIAL_OK erfüllt."
36,ZQHP5G35,Jørgensen (2023),Data and rights in the digital welfare state: the case of Denmark,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Include,,Theoretisch,0.92,"Das Paper analysiert algorithmische Entscheidungssysteme (KI_Sonstige) im dänischen Wohlfahrtsstaat (Soziale_Arbeit). Es thematisiert Bürger-Disempowerment, Profiling und Überwachung als Formen sozialer Ungleichheit (Bias_Ungleichheit) sowie fehlende Fairness bei prädiktiver Analytik im öffentlichen Sektor (Fairness). Beide Bedingungen – Technik und Sozial – sind erfüllt."
37,A2P8MXMY,Keddell (2019),"Algorithmic justice in child protection: Statistical fairness, social justice and the implications for practice",Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Include,,Theoretisch,0.97,"Das Paper behandelt substanziell algorithmische Entscheidungssysteme (Predictive Analytics) im Kinderschutz (KI_Sonstige + Soziale_Arbeit). Es analysiert kritisch Bias und algorithmische Ungerechtigkeit gegenüber indigenen, schwarzen und armen Familien (Bias_Ungleichheit, Diversitaet) sowie statistische Fairness-Metriken versus soziale Gerechtigkeit (Fairness). Alle Einschlusskriterien sind klar erfüllt."
38,ZITLBM8A,Singer et al. (2023),ChatGPT for social work science: Ethical challenges and opportunities,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Include,,Konzept,0.97,"Das Paper behandelt substantiell ChatGPT/LLMs (Generative_KI) im Kontext der Sozialen Arbeit (Soziale_Arbeit), thematisiert algorithmischen Bias (Bias_Ungleichheit) und betont die kritische Evaluation von KI-Outputs als Kompetenz (AI_Literacies). Alle drei Dimensionen sind zentral im Abstract. Sowohl TECHNIK als auch SOZIAL sind eindeutig erfüllt."
39,QI5AYE4V,McDonald et al. (2023),Algorithmic decision-making in social work practice and pedagogy: Confronting the competency/critique dilemma,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Include,,Konzept,0.95,Das Paper behandelt substantiell algorithmische Entscheidungssysteme (KI_Sonstige) und entwickelt das Konzept der 'algorithmic literacy' für die Ausbildung von Sozialarbeiter:innen (AI_Literacies). Direkter Bezug zu sozialarbeiterischer Praxis und Pädagogik (Soziale_Arbeit) ist klar gegeben. Kritische Auseinandersetzung mit ungleichen Machtverteilungen durch technologischen Wandel adressiert Bias_Ungleichheit substantiell.
40,WTLVG29I,Reamer (2023),Artificial intelligence in social work: Emerging ethical issues,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Include,,Konzept,0.97,"Das Paper behandelt substantiell KI-Kompetenzen und algorithmische Systeme (KI_Sonstige, AI_Literacies) im Kontext Sozialer Arbeit. Es adressiert explizit algorithmischen Bias, ethische Herausforderungen und Fairness bei KI-Anwendungen in der Sozialarbeit. Beide Bedingungen (TECHNIK und SOZIAL) sind klar erfüllt."
41,J7V3AAQT,Sabour et al. (2023),A chatbot for mental health support: Exploring the impact of Emohaa on reducing mental distress in China,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.85,"Das Paper beschreibt ein KI-gestütztes Chatbot-System für mentale Gesundheit (KI_Sonstige = Ja), behandelt jedoch keine der sozialen Kategorien substantiell. Es gibt keinen direkten Bezug zu Sozialer Arbeit, keinen Bias/Ungleichheits-Fokus, keine Gender- oder Diversitätsperspektive, keine feministische Theorie und keine Fairness-Diskussion. Da nur die Technik-Bedingung erfüllt ist, nicht aber die Sozial-Bedingung, ist Exclude korrekt."
42,9WIGR47Y,Rodríguez-Martínez et al. (2024),Ethical issues related to the use of technology in social work practice: A systematic review,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Include,,Literaturreview,0.85,"Systematischer Review zu ethischen Fragen des Technologieeinsatzes in der Sozialen Arbeit. KI_Sonstige: Automatisierte Systeme und Digitalisierung werden als technologische Themen behandelt. Soziale_Arbeit: Direkter Bezug zur sozialarbeiterischen Praxis. Bias_Ungleichheit: Digitale Kluft als Social-Justice-Problem thematisiert. Fairness: Automatisierte Systeme, Selbstbestimmung und ethische Herausforderungen werden substantiell diskutiert. Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt."
43,S8WGUVQT,Dencik et al. (2024),Automated government benefits and welfare surveillance,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Include,,Theoretisch,0.92,"Das Paper behandelt algorithmische Entscheidungssysteme (KI_Sonstige: Betrugserkennungssysteme, Chatbots im Wohlfahrtsstaat) mit direktem Bezug zu sozialer Verwaltung und marginalisierten Bevölkerungsgruppen (Soziale_Arbeit). Es analysiert Machtasymmetrien und Ungleichheit durch Überwachungsautomatisierung (Bias_Ungleichheit) sowie Fragen algorithmischer Fairness (Fairness). Beide Bedingungen – Technik und Sozial – sind erfüllt."
44,LXDG4KQK,Amnesty International (2024),Coded injustice: Surveillance and discrimination in Denmark's automated welfare state,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Include,,Empirisch,0.95,"Das Paper dokumentiert algorithmische Entscheidungssysteme im dänischen Wohlfahrtsstaat (KI_Sonstige), die direkt Sozialleistungsempfänger betreffen (Soziale_Arbeit). Es thematisiert substantiell Diskriminierung marginalisierter Gruppen (Bias_Ungleichheit, Diversitaet) sowie algorithmische Fairness-Probleme (Fairness). Beide Bedingungen – Technik und Sozial – sind klar erfüllt."
