ID,Zotero_Key,Author_Year,Title,AI_Literacies,Generative_KI,Prompting,KI_Sonstige,Soziale_Arbeit,Bias_Ungleichheit,Gender,Diversitaet,Feministisch,Fairness,Decision,Exclusion_Reason,Studientyp,LLM_Confidence,LLM_Reasoning,Input_Source
11,43CRXRRT,Tinmaz et al. (2022),A systematic review on digital literacy,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Include,,Literaturreview,0.75,"Paper adressiert digitale Kompetenz (nicht spezifisch KI-Literacy), behandelt aber explizit KI/Robotik im Industry 4.0-Kontext (KI_Sonstige=Ja). Fokus auf Digital Divides/Inequalities (Bias_Ungleichheit=Ja), vulnerable Populationen und marginalisierte Gruppen (Diversitaet=Ja), gerechte Chancenverteilung (Fairness=Ja). TECHNIK erfüllt (KI_Sonstige), SOZIAL erfüllt (3 Kategorien). Inklusion gerechtfertigt, obwohl KI nicht zentrales Thema ist, sondern Teil des Industry 4.0-Kontextes.",KD
12,HTXCWNQ9,Peng et al. (2022),A Literature Review of Digital Literacy over Two Decades,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Include,,Literaturreview,0.85,"Paper behandelt Digital Literacy als Kompetenzentwicklung (AI_Literacies: Ja - breites Verständnis von digitalen Fähigkeiten, kritischem Denken, kompetenter Technologienutzung). Substanzielle Analyse von digitaler Ungleichheit nach Geschlecht, Sozioökonomischem Status und geografischer Lage (Bias_Ungleichheit, Gender, Diversitaet alle Ja). Erfüllt TECHNIK (AI_Literacies) UND SOZIAL (3 Kategorien) Bedingung. Kein expliziter Bezug zu Sozialer Arbeit, daher Soziale_Arbeit=Nein. Keine feministische Theorie oder Methodik erkennbar.",KD
13,7G78SADI,Pinski & Benlian (2024),"AI literacy for users – A comprehensive review and future research directions of learning methods, components, and effects",Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Exclude,"Technik erfüllt (AI_Literacies, Generative_KI, KI_Sonstige), aber kein direkter Bezug zu Sozialer Arbeit. Bias_Ungleichheit, Gender, Diversitaet und Fairness werden erwähnt, aber nicht substantiell im Kontext von sozialen Praktiken oder marginalisierten Gruppen behandelt. Das Paper adressiert allgemeine KI-Literacies für diverse Nutzergruppen (Manager, Lehrer, Ärzte, Kinder), nicht spezifisch sozialarbeiterische Kontexte oder strukturelle Ungleichheiten.",Literaturreview,0.85,"Systematisches Scoping Review zu AI Literacy mit Fokus auf Lernmethoden und Komponenten. Behandelt substantiell AI_Literacies, deckt Generative KI (ChatGPT) und klassische ML ab. Bias, Gender und Fairness sind Komponenten des AI-Literacy-Frameworks, werden aber nicht substantiell als soziale Ungleichheitsfragen analysiert. Keine Verbindung zu Sozialer Arbeit als Disziplin/Praxis. Daher: Rein technisch-pädagogischer Fokus ohne Erfüllung der SOZIAL-Komponente.",KD
14,3AQ2K3BX,Ng et al. (2021),Conceptualizing AI literacy: An exploratory review,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,"Nur Technik-Dimension erfüllt (AI_Literacies), keine Sozial-Dimension",Literaturreview,0.85,"Das Paper behandelt AI Literacy als Konzept in einer explorativen Review - klar der Kategorie AI_Literacies zuzuordnen. Es erfüllt jedoch nicht die Sozial-Dimension des Inclusion-Kriteriums: Weder Soziale_Arbeit noch Bias_Ungleichheit, Gender, Diversität, Feministische Perspektive oder Fairness werden substantiell adressiert. Nach strenger Logik: TECHNIK_OK (AI_Literacies=Ja), aber SOZIAL_NOT_OK → Exclude.",Abstract
15,7VFNS5R3,Kong et al. (2021),Evaluation of an artificial intelligence literacy course for university students with diverse study backgrounds,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Include,,Empirisch,0.92,"Paper adressiert AI Literacy substantiell durch Kursdesign und Evaluation (AI_Literacies: Ja). Behandelt klassische ML-Konzepte (KI_Sonstige: Ja). Analyisiert Gender-Unterschiede in Selbstwirksamkeit und Empowerment (Gender: Ja). Thematisiert Inclusion von Studierenden diverse Backgrounds und reduziert geschlechtsspezifische Unterschiede (Diversitaet: Ja). Erwähnt Bias als Concern, aber nicht substantieller Fokus (Bias_Ungleichheit: Ja, aber marginal). TECHNIK und SOZIAL erfüllt → Include.",KD
16,23Y3627L,Wang et al. (2023),Measuring user competence in using artificial intelligence: validity and reliability of artificial intelligence literacy scale,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.92,"Paper entwickelt erfolgreich eine AI-Literacies-Skala (TECHNIK erfüllt). ABER: Keine substantielle Behandlung von Soziale_Arbeit, Bias_Ungleichheit, Gender, Diversität, Feminismus oder Fairness (SOZIAL nicht erfüllt). Es ist eine reine Psychometrische Validierungsstudie im Human-AI-Interaction-Kontext, ohne spezifischen Bezug zu sozialen Auswirkungen, Diskriminierung oder kritische Perspektiven. Beide Bedingungen nicht erfüllt → Exclusion.",KD
17,4BRSDIPP,Laupichler et al. (2023),Development of the “Scale for the assessment of non-experts’ AI literacy” – An exploratory factor analysis,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Include,,Empirisch,0.92,"Das Paper entwickelt und validiert ein psychometrisches Messinstrument (SNAIL) für AI Literacy bei Laien – eindeutig TECHNIK (AI_Literacies: Ja, KI_Sonstige: Ja durch Behandlung von ML, Algorithmen, Bias). SOZIAL erfüllt durch: (1) explizite Geschlechterkontrolle (50/50) und Geschlechterdifferenz-Analyse → Gender: Ja; (2) bewusst heterogene Stichprobe nach Bildung, Herkunftsland → Diversitaet: Ja. Beide Bedingungen erfüllt → Include.",KD
18,YDW5TX8M,Deuze & Beckett (2022),"Imagination, Algorithms and News: Developing AI Literacy for Journalism",Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Include,,Konzept,0.95,"Paper erfüllt beide Bedingungen: TECHNIK-OK (AI_Literacies + KI_Sonstige: ML, NLP, Algorithmen), SOZIAL-OK (Bias_Ungleichheit, Diversitaet, Fairness). Kern ist Framework für AI-Literalität im Journalismus mit explizitem Fokus auf kritisches Verständnis von Bias, Ungleichheit und Fairness. Konzeptionelle, theoretische Arbeit.",KD
19,BBLJ4RG3,Kong et al. (2024),Developing an artificial intelligence literacy framework: Evaluation of a literacy course for senior secondary students using a project-based learning approach,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Include,,Empirisch,0.92,"Paper entwickelt explizit AI Literacy Framework mit vier Dimensionen (kognitiv, metakognitiv, affektiv, sozial) für Oberstufenschüler:innen. Substantielle Behandlung von KI-Kompetenzen, klassischem ML und ethischem Bewusstsein. Diversität wird adressiert durch universale Förderung von KI-Literalität über verschiedene Schüler:innen-Backgrounds. Erfüllt TECHNIK (AI_Literacies + KI_Sonstige) UND SOZIAL (Diversitaet). Kein direkter Bezug zu Sozialer Arbeit, aber starker Fokus auf gesellschaftliche Verantwortung und ethische KI-Nutzung.",KD
20,FJQ6XYHH,Kong et al. (2025),Artificial Intelligence (AI) literacy – an argument for AI literacy in education,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Include,,Theoretisch,0.92,"Paper erfüllt beide Bedingungen: TECHNIK_OK (AI_Literacies = Ja, substantiell behandelt als Kernthema des Papers - Kompetenzentwicklung für aktive AI-Nutzung); SOZIAL_OK (Bias_Ungleichheit = Ja: kritische Evaluation von Bias und Diskriminierung; Diversitaet = Ja: expliziter Fokus auf marginalisierte Gruppen, rural/vulnerable/indigene Communities, Sprachrevitalisierung). Paper ist theoretisch-argumentativ mit internationaler Expertenkollaboration.",KD
21,JMAWNUEV,Jin et al. (2025),GLAT: The generative AI literacy assessment test,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Include,,Empirisch,0.92,"Paper erfüllt beide Bedingungen: TECHNIK-Seite: Starke Evidenz für AI_Literacies (generative AI literacy assessment framework), Generative_KI (ChatGPT, Gemini, Claude), Prompting (explizit Prompt-Engineering als Kernkompetenz mit spezifischen Items). SOZIAL-Seite: Bias_Ungleichheit (Item 21 zu Bias in Hiring), Fairness (Items zu Bias, Copyright, Black-Box-Problem). Obwohl kein direkter Sozialarbeitsbezug, behandelt das Paper substantiell Bias und Fairness in KI-Systemen. Einschlusskriterien erfüllt.",KD
22,7U29SIC8,Sperling et al. (2024),In search of artificial intelligence (AI) literacy in teacher education: A scoping review,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Include,,Literaturreview,0.92,"Paper behandelt AI literacy substantiell als Kernthema für Lehrerausbildung (AI_Literacies: Ja). Diskutiert klassisches ML, NLP, Algorithmen und automatisierte Systeme (KI_Sonstige: Ja). Adressiert algorithmischen Bias, Fairness in automatisierten Bewertungssystemen und Ungleichheit (Bias_Ungleichheit: Ja, Fairness: Ja). Erwähnt Diversität in Lernerkontexten (Diversitaet: Ja). Kein Gender-Fokus, keine feministische Perspektive, keine direkten Soziale-Arbeit-Bezüge erkennbar. TECHNIK (AI_Literacies + KI_Sonstige) und SOZIAL (Bias_Ungleichheit + Fairness + Diversitaet) beide erfüllt → Include.",KD
23,3K9RDWLY,Pinski & Benlian (2023),AI Literacy - Towards Measuring Human Competency in Artificial Intelligence,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Exclude,"Only TECHNIK fulfilled (AI_Literacies, KI_Sonstige, Fairness), but no SOZIAL category met. Missing direct connection to social work, specific bias/inequality analysis, gender focus, diversity initiatives, or feminist perspective.",Experimentell,0.95,"Paper entwickelt Messinstrument für AI Literacy (TECHNIK: AI_Literacies=Ja, KI_Sonstige=Ja). Erwähnt Fairness/Ethik als Dimension, aber substanziell nicht fokussiert (Fairness=Ja, aber schwach). SOZIAL-Kriterien alle erfüllt: Kein Bezug zu Sozialer Arbeit, keine Bias-Ungleichheit-Analyse, kein Gender-, Diversitäts- oder feministischer Fokus. Paper adressiert allgemeine Organisationen, nicht Sozialsektor.",KD
24,2SNYUZG4,Yan et al. (2024),Promises and challenges of generative artificial intelligence for human learning,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Include,,Literaturreview,0.95,"Paper erfüllt beide Bedingungen: TECHNIK_OK durch AI_Literacies (Abschnitt 4.1 zu AI Literacy), Generative_KI (LLMs, Diffusion Models) und KI_Sonstige (Intelligent Tutoring Systems). SOZIAL_OK durch Bias_Ungleichheit (Digital Divide, Algorithmen-Bias), Gender (Geschlechterstereotypen in STEAM), Diversitaet (inklusive Gestaltung für diverse Lernende, Behindertengerecht) und Fairness (faire Bewertungssysteme). Substantiell und kohärent adressiert.",KD
25,SE579V7B,Ng et al. (2021),Conceptualizing AI literacy: An exploratory review,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Include,,Literaturreview,0.95,"Paper konzeptualisiert AI Literacy als grundlegende Kompetenz mit vier Dimensionen (Know, Use, Evaluate, Ethical Issues) - substantielle Behandlung von AI_Literacies. Thematisiert diverse KI-Systeme (ML, NLP, Robotik) - KI_Sonstige erfüllt. Explizit gender-spezifische Analyse zur Automatisierungskrise bei Frauen (160 Mio. Frauen, 72% Bürojobs). Fokus auf Fairness, Transparenz, Accountability und Inklusion. TECHNIK (AI_Literacies + KI_Sonstige) UND SOZIAL (Bias_Ungleichheit + Gender + Diversitaet + Fairness) beide erfüllt → Include.",KD
26,KI9GRGHB,Marjanovic et al. (2022),Theorising algorithmic justice,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Include,,Theoretisch,0.95,Paper erfüllt beide Bedingungen: TECHNIK-OK (KI_Sonstige: algorithmische Entscheidungssysteme in der Jugendhilfe/Sozialhilfe); SOZIAL-OK (Soziale_Arbeit: direkte Anwendung auf Welfare Services; Bias_Ungleichheit: Diskriminierung marginalisierter Gruppen; Diversitaet: vulnerable Populations; Fairness: Framework für algorithmic justice). Theoretischer Bezugsrahmen adressiert substantiell Algorithmen im Sozialbereich mit Fokus auf Gerechtigkeit und Marginalisierung.,Abstract
27,AMYZFAPH,Perron et al. (2023),Recommendations for social work researchers and journal editors on the use of generative AI and large language models,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Include,,Konzept,0.95,"Das Paper erfüllt beide Bedingungen: TECHNIK: Ja bei Generative_KI (LLMs/ChatGPT), Prompting (Prompt-Engineering als substantielles Thema) und AI_Literacies (kritisches Engagement, Kompetenzentwicklung für Forschende). SOZIAL: Ja bei Soziale_Arbeit (direkte Adressierung von Social-Work-Forschenden und -Praxis, Evidence-based Recommendations). Das Paper behandelt substantiell, wie Forscher:innen in der Sozialen Arbeit mit generativer KI kompetent umgehen sollten.",Abstract
28,VSZM7CT6,Hodgson et al. (2022),"Problematising artificial intelligence in social work education: Challenges, issues and possibilities",Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Include,,Theoretisch,0.92,Paper adressiert substantiell AI-Literacies in der Sozialarbeit-Ausbildung (kritische digitale Kompetenzen). Behandelt KI im breiten Sinne (KI_Sonstige). Direkter Bezug zu Sozialarbeiterischer Praxis und Ausbildung (Soziale_Arbeit). Thematisiert explizit ungleiche Machtverteilungen und strukturelle Spannungen (Bias_Ungleichheit). Erfüllt beide Bedingungen: TECHNIK_OK (AI_Literacies + KI_Sonstige) und SOZIAL_OK (Soziale_Arbeit + Bias_Ungleichheit).,Abstract
29,EXRF5629,Spaulding et al. (2023),Predicting successful placements for youth in child welfare with machine learning,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Include,,Empirisch,0.92,"Paper entwickelt ML-Modelle (gradient boosting) für Vorhersagen in der Jugendhilfe (child welfare). KI_Sonstige erfüllt: algorithmische Entscheidungssysteme im Sozialbereich (Platzierungsprognosen). Soziale_Arbeit erfüllt: direkter Bezug zu Jugendhilfe-Praxis, Zielgruppe sind Kinder/Jugendliche im care system. TECHNIK_OK UND SOZIAL_OK → Include. Bias/Fairness nicht explizit thematisiert, daher diese Kategorien Nein.",Abstract
30,NSI6S5QE,National Association of Social Workers et al. (2017),"NASW, ASWB, CSWE, & CSWA standards for technology in social work practice",Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Include,,Konzept,0.85,"Das Paper ist ein Landmark-Dokument der vier größten US-Fachverbände der Sozialen Arbeit zur Etablierung von Technologie-Standards. Es adressiert AI_Literacies (Kompetenzanforderungen für Sozialarbeiter im Umgang mit Technologie), KI_Sonstige (algorithmische Systeme im Kontext Sozialer Arbeit), und Soziale_Arbeit (direkte Praxis, Ethik und Standards). Das Dokument kombiniert Technik-Anforderungen mit sozialprofessioneller Praxis und erfüllt beide notwendigen Bedingungen für Inclusion.",Abstract
31,7FEFMCBZ,Cheng et al. (2022),How child welfare workers reduce racial disparities in algorithmic decisions,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Include,,Empirisch,0.95,"Paper erfüllt beide Kriterien: TECHNIK (KI_Sonstige: algorithmische Entscheidungssysteme in der Jugendhilfe) und SOZIAL (Soziale_Arbeit: Kind welfare, Bias_Ungleichheit: rassische Disparitäten, Fairness: Algorithmic Bias Reduktion). Substantielle empirische Analyse mit Mixed-Methods Design zeigt menschlich-algorithmische Kollaboration und Diskriminierungsrisiken.",Abstract
32,LR8Z3YHP,Wadmann & Hoeyer (2020),'Meaningless work': How the datafication of health reconfigures knowledge about work and erodes professional judgement,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Theoretisch,0.95,"Paper behandelt Datafication und Digitalisierung im Gesundheitswesen, nicht KI-Systeme. Keine substantielle Behandlung von KI/ML-Technologien, generativer KI, Prompting oder algorithmischen Systemen. Kein direkter Bezug zu Sozialer Arbeit, ihren Zielgruppen oder Praxis. Kritische Perspektive auf Datennutzung erfüllt nicht die sozialen Dimensionen (Bias, Fairness, Gender, Diversität) des Reviews.",Abstract
33,P4YQIKJX,Li et al. (2023),Ethics & AI: A systematic review on ethical concerns and related strategies for designing with AI in healthcare,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Exclude,SOZIAL-Kriterium nicht erfüllt: Trotz Bias- und Fairness-Behandlung fehlt direkter Bezug zu Sozialer Arbeit oder strukturellen Ungleichheiten im sozialarbeiterischen Kontext. Healthcare-Fokus mit generischen ethischen Prinzipien reicht nicht aus.,Literaturreview,0.85,"Paper behandelt KI_Sonstige (algorithmische Systeme im Healthcare), Bias_Ungleichheit (algorithmischer Bias, Diskriminierung) und Fairness (justice, fairness als zentrale Ethik-Themen). ABER: Keine substantielle Verbindung zu Sozialer Arbeit als Disziplin/Praxis, keine Zielgruppen der SA, keine SA-theoretischen Bezüge. Allgemeine Healthcare-Ethik ist nicht gleichzusetzen mit SA-Kontext. TECHNIK_OK ✓, aber SOZIAL_FEHLT ✗ → Exclude.",Abstract
34,R7V99ERA,Field et al. (2023),Examining risks of racial biases in NLP tools for child protective services,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Include,,Empirisch,0.95,"Paper erfüllt beide Bedingungen: TECHNIK (KI_Sonstige: NLP-Systeme für Risikobewertung) + SOZIAL (Soziale_Arbeit: Child Protective Services, Bias_Ungleichheit: Racial Bias, Diversitaet: Benachteiligung von Familien of Color, Fairness: systematische Diskriminierung). Hochrelevant für KI und Soziale Arbeit.",Abstract
35,4ZL5Q48E,Jarrahi et al. (2021),Algorithmic management in a work context,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Exclude,"TECHNIK_OK (KI_Sonstige=Ja), aber SOZIAL_OK nicht erfüllt. Bias_Ungleichheit beschreibt hier Machtverhältnisse und Kontrolle in Arbeitskontexten, nicht algorithmischen Bias im engeren Sinne. Paper hat keinen Bezug zu Sozialarbeit, Gender, Diversität, Feminismus oder Fairness-Metriken. Die kritische Analyse von Algorithmen im Arbeitskontext ist relevant für Sozialwissenschaften allgemein, aber nicht für das vorliegende Literature Review.",Theoretisch,0.75,"Paper analysiert algorithmische Systeme (KI_Sonstige=Ja) und kritische Aspekte wie Surveillance und Kontrolle. Jedoch besteht kein direkter Bezug zu Sozialarbeit, und 'Bias_Ungleichheit' greift hier zu kurz – das Paper behandelt Machtverhältnisse und Deskilling, nicht algorithmischen Bias. Kein Gender-, Diversitäts- oder Fairness-Fokus erkennbar.",Abstract
36,ZQHP5G35,Jørgensen (2023),Data and rights in the digital welfare state: the case of Denmark,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Include,,Theoretisch,0.92,"Paper behandelt substantiell algorithmische Entscheidungssysteme (KI_Sonstige: Predictive Analytics im Wohlfahrtskontext) mit direktem Bezug zu Sozialarbeit (Wohlfahrtsverwaltung, Bürgerbeteiligung). Zentral sind Bias/Ungleichheit (Bürgerdisempowerment, Behandlung als Datenpunkte) und Fairness (Critique von Überwachung, fehlender Gerechtigkeit). TECHNIK (KI_Sonstige) + SOZIAL (Soziale_Arbeit, Bias_Ungleichheit, Fairness) erfüllt → Include.",Abstract
37,A2P8MXMY,Keddell (2019),"Algorithmic justice in child protection: Statistical fairness, social justice and the implications for practice",Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Include,,Theoretisch,0.95,"Paper behandelt algorithmische Entscheidungssysteme (KI_Sonstige: Predictive Algorithms) im Kontext der Jugendhilfe (Soziale_Arbeit: child protection). Zentrale Themen sind algorithmischer Bias und Diskriminierung (Bias_Ungleichheit: racial/socioeconomic disparities), Repräsentation marginalisierter Gruppen (Diversitaet: Indigenous/Black/poor families) und algorithmische Fairness (Fairness: statistical fairness perspectives). Erfüllt beide Anforderungen: Technik (KI_Sonstige) + Sozial (Soziale_Arbeit, Bias_Ungleichheit, Diversitaet, Fairness).",Abstract
