paper_id,title,author_year,has_human,has_agent,human_AI_Literacies,agent_AI_Literacies,agree_AI_Literacies,human_Generative_KI,agent_Generative_KI,agree_Generative_KI,human_Prompting,agent_Prompting,agree_Prompting,human_KI_Sonstige,agent_KI_Sonstige,agree_KI_Sonstige,human_Soziale_Arbeit,agent_Soziale_Arbeit,agree_Soziale_Arbeit,human_Bias_Ungleichheit,agent_Bias_Ungleichheit,agree_Bias_Ungleichheit,human_Gender,agent_Gender,agree_Gender,human_Diversitaet,agent_Diversitaet,agree_Diversitaet,human_Feministisch,agent_Feministisch,agree_Feministisch,human_Fairness,agent_Fairness,agree_Fairness,human_decision,agent_decision,agree_decision,human_exclusion_reason,agent_exclusion_reason,human_studientyp,agent_studientyp,agent_confidence,agent_reasoning,category_agreements,category_total,category_agreement_rate
2WHGF83D,"AI for decision support: What are possible futures, social impacts, regulatory options, ethical conundrums and agency constellations?",Schneider (2024),Ja,Ja,,Nein,,,Nein,,,Nein,,,Ja,,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Ja,,Exclude,Include,Nein,Wrong publication type,,,Theoretisch,0.78,"Das Paper behandelt algorithmische Entscheidungsunterstützungssysteme (KI_Sonstige) in Bereichen wie Gesundheit, Rechtssystem und Grenzkontrolle. Es thematisiert substantiell Diskriminierung durch Trainingsdaten (Bias_Ungleichheit) und algorithmische Fairness-Fragen (Fairness). Kein direkter Soziale_Arbeit-Bezug, aber die TECHNIK+SOZIAL-Bedingung ist durch KI_Sonstige und Bias_Ungleichheit/Fairness erfüllt.",0,0,
2YS85B49,Can LLMs reason about trust? A pilot study,Debnath et al. (2024),Nein,Ja,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Exclude,,,Not_relevant_topic,,Empirisch,0.85,"Das Paper untersucht LLMs' Fähigkeit zur Trust-Analyse zwischen Individuen. Es ist zwar technisch relevant (Generative KI), aber keine der sozialen Kategorien ist substantiell erfüllt: kein Sozialarbeitsbezug, kein Bias/Ungleichheits-Fokus, kein Gender, keine Diversität, keine feministische Theorie, keine Fairness-Metriken. Trust-Modellierung ist ein kognitiv-technisches Thema ohne direkten sozialen Bezug im definierten Sinne.",0,0,
38E5FZDV,Explicitly unbiased large language models still form biased associations,Bai (2025),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Exclude,Include,Nein,Not relevant topic,,Experimentell,Empirisch,0.88,"Das Paper untersucht implizite Biases in value-aligned LLMs mittels neu entwickelter psychologisch inspirierter Evaluationsmethoden. Es ist klar im Bereich Generative_KI verortet und behandelt substantiell Bias/Ungleichheit sowie algorithmische Fairness. Keine direkte Verbindung zu Sozialer Arbeit, aber Bias_Ungleichheit und Fairness als Sozialkategorien sind eindeutig erfüllt.",7,10,70.00%
3AHQEHDF,Multilingual Prompting for Improving LLM Generation Diversity,Wang (2024),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Include,Include,Ja,,,Empirisch,Experimentell,0.72,"Das Paper behandelt substantiell Prompting-Strategien (multilingual/multicultural prompting) für LLMs und hat einen klaren Bezug zu Diversität in KI-Outputs (demographische und kulturelle Repräsentation). TECHNIK_OK durch Generative_KI und Prompting, SOZIAL_OK durch Diversitaet. Die Verbindung zur sozialen Relevanz ist vorhanden, aber eher technisch-methodisch fokussiert.",9,10,90.00%
3AQ2K3BX,Conceptualizing AI literacy: An exploratory review,Ng (2021),Ja,Ja,Ja,Ja,Ja,?,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Exclude,Exclude,Ja,Duplicate,Not_relevant_topic,Konzept,Literaturreview,0.7,"Das Paper behandelt AI Literacy als Konzept (exploratory review), was die TECHNIK-Bedingung erfüllt. Jedoch fehlt ohne Abstract jeglicher Beleg für eine SOZIAL-Dimension (kein Bias, kein Gender, keine Soziale Arbeit etc.). Ng et al. (2021) ist ein bekanntes konzeptuelles Framework-Paper zu AI Literacy ohne spezifischen sozialen Fokus. Da nur TECHNIK_OK, aber nicht SOZIAL_OK: Exclude.",4,10,40.00%
3B87U5LN,"""It happened to be the perfect thing"": Experiences of generative AI chatbots for mental health",Siddals (2024),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Include,Exclude,Nein,,Not_relevant_topic,Empirisch,Empirisch,0.82,"Das Paper behandelt generative KI-Chatbots (ChatGPT, Pi) für mentale Gesundheitsunterstützung – erfüllt die Technik-Bedingung. Jedoch fehlt die Sozial-Bedingung: Kein direkter Bezug zu Sozialer Arbeit, kein Bias/Ungleichheits-Fokus, kein Gender- oder Diversitäts-Schwerpunkt, keine feministische Perspektive, keine Fairness-Analyse. Die Studie untersucht Nutzererfahrungen im Mental-Health-Kontext, ohne soziale Ungleichheiten oder relevante Sozialkategorien substantiell zu thematisieren.",8,10,80.00%
3GB9B4IJ,Can LLMs reason about trust? A pilot study,Debnath (2024),Ja,Ja,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,Exclude,Exclude,Ja,Duplicate,Not_relevant_topic,,Empirisch,0.88,"Das Paper untersucht LLMs' Fähigkeit, über Vertrauen zu urteilen (Generative_KI = Ja), adressiert jedoch keine sozialen Kategorien wie Soziale Arbeit, Bias, Gender, Diversität, feministische Theorie oder Fairness. Das Thema 'Vertrauen' ist hier rein kognitiv-computational konzipiert ohne Bezug zu sozialer Ungleichheit oder sozialarbeiterischer Praxis. Die SOZIAL-Bedingung ist nicht erfüllt.",0,0,
3K9RDWLY,AI Literacy - Towards Measuring Human Competency in Artificial Intelligence,Pinski (2023),Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Exclude,Ja,,Not_relevant_topic,,Konzept,0.65,"Das Paper behandelt AI Literacy und die Messung menschlicher KI-Kompetenz (TECHNIK_OK). Jedoch fehlt ein sozialer Bezug zu Soziale_Arbeit, Bias, Gender, Diversität, feministischen Perspektiven oder Fairness. Der Fokus liegt auf der Kompetenzmessung ohne erkennbaren sozialen oder gleichheitsbezogenen Kontext. Kein Abstract verfügbar erschwert die Bewertung, aber Titel allein deutet auf kein SOZIAL-Kriterium hin.",9,10,90.00%
3QUWCYVW,Assessing trustworthy AI: Technical and legal perspectives of fairness in AI,Kattnig (2024),Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Theoretisch,Theoretisch,0.92,"Das Paper behandelt algorithmische Bias-Mitigation (KI_Sonstige) und analysiert technische Fairness-Metriken im Kontext von EU-Recht und Nicht-Diskriminierungsrecht (Fairness, Bias_Ungleichheit). Es vergleicht technische Ansätze mit rechtlichen Normen und fordert interdisziplinäre Ansätze. Kein direkter Soziale_Arbeit-Bezug, aber klare Erfüllung beider Bedingungen (Technik + Sozial).",7,10,70.00%
3XMBE43Z,Algorithmic Governance: Gender Bias in AI-Generated Policymaking?,Voutyrakou (2025),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Include,Include,Ja,,,Experimentell,Experimentell,0.92,"Das Paper untersucht Gender-Bias in GPT-4/Copilot-generierten Politiken (Generative_KI). Prompting ist substantiell: intersektional-informiertes Prompting als Strategie wird explizit diskutiert. Gender-Bias und androzentrische Verzerrungen stehen im Mittelpunkt (Bias_Ungleichheit, Gender). Feministische Perspektive ist explizit durch Konzepte wie Androzentrismus, Intersektionalität und Strukturkritik erkennbar (Feministisch). TECHNIK_OK + SOZIAL_OK → Include.",7,10,70.00%
3ZNMTJ5B,feminist AI | ACADEMY,[Author not specified] (n.d.),Nein,Ja,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Ja,,,Ja,,,Ja,,,Include,,,,,Konzept,0.45,"Dies scheint eine Webseite/Programmbeschreibung einer Organisation zu sein, die feministische KI-Bildung anbietet. AI_Literacies wird durch Workshops und Training zur equitable AI adressiert. Feministisch ist explizit im Titel verankert. Fairness und Diversität durch 'equitable AI'. Jedoch fehlt ein eigentlicher Abstract oder wissenschaftlicher Inhalt – es handelt sich möglicherweise um keinen wissenschaftlichen Artikel, was die Confidence stark reduziert.",0,0,
43CRXRRT,A systematic review on digital literacy,Tinmaz (2022),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Exclude,Ja,Not relevant topic,Not_relevant_topic,Literaturreview,Literaturreview,0.95,"Das Paper behandelt digitale Kompetenz allgemein (digital literacy, digital skills, digital competencies), nicht spezifisch KI-bezogene Kompetenzen. Kein Bezug zu KI-Systemen, Algorithmen, generativer KI oder verwandten Themen. Auch kein Bezug zu sozialer Arbeit, Bias oder Fairness. Die Kategorien AI_Literacies wäre nur bei explizitem KI-Fokus anwendbar, der hier nicht vorliegt.",9,10,90.00%
44AA6ETH,Das verflixte Problem mit Klassifikationen: Zum Einfluss der Digitalisierung auf die Soziale Diagnostik in der Sozialen Arbeit,Schneider (2024),Ja,Ja,,Nein,,,Nein,,,Nein,,,Ja,,,Ja,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,Exclude,Include,Nein,No full text,,,Theoretisch,0.85,"Das Paper behandelt algorithmische Entscheidungsunterstützungssysteme (KI_Sonstige) in der Sozialen Arbeit (Soziale_Arbeit). Es analysiert, wie digitale Klassifikationssysteme und algorithmische Tools soziale Diagnosepraxis beeinflussen. Der Fokus auf Kategorisierungsproblemen und das Risiko der Reifizierung sozialer Probleme berührt Bias/Ungleichheit. Beide Bedingungen (TECHNIK + SOZIAL) sind erfüllt.",0,0,
49PPZJ7Z,Tensions in digital welfare states: Three perspectives on care and control,Zakharova (2024),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,Exclude,Include,Nein,Not relevant topic,,,Theoretisch,0.78,Das Paper behandelt algorithmische Governance und Datensysteme im Wohlfahrtsstaat (KI_Sonstige) mit direktem Bezug zu sozialen Dienstleistungen und Welfare-Provision (Soziale_Arbeit). Die Analyse von Überwachungsintensivierung und Spannungen zwischen Care und Control im digitalen Wohlfahrtsstaat adressiert strukturelle Ungleichheiten und Machtfragen (Bias_Ungleichheit). Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt.,3,5,60.00%
4BRSDIPP,Development of the “Scale for the assessment of non-experts’ AI literacy” – An exploratory factor analysis,Laupichler (2023),Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Exclude,Ja,Not relevant topic,Not_relevant_topic,Empirisch,Empirisch,0.75,"Das Paper entwickelt eine Skala zur Messung von KI-Kompetenz bei Nicht-Experten (AI Literacy) und verwendet explorative Faktorenanalyse. AI_Literacies ist klar erfüllt (TECHNIK_OK). Jedoch fehlt ein soziales Kriterium: kein direkter Bezug zu Sozialer Arbeit, Bias, Gender, Diversität, feministischer Theorie oder Fairness-Metriken. Die reine Skalenentwicklung ohne sozialen Kontext erfüllt die SOZIAL-Bedingung nicht.",9,10,90.00%
4GYXUS9Y,The end of the world as we know it? ChatGPT and social work,Goldkind (2024),Ja,Ja,,Ja,,,Ja,,,Ja,,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Ja,,Exclude,Include,Nein,Duplicate,,,Theoretisch,0.92,"Das Editorial behandelt substantiell ChatGPT (generative KI) in der Sozialen Arbeit, thematisiert Prompting-Praktiken als Teil kritischer Reflexion, und adressiert faire KI-Nutzung (Fairness). Der direkte Bezug zur sozialarbeiterischen Praxis und Profession ist klar gegeben. Sowohl TECHNIK (Generative_KI, Prompting, AI_Literacies) als auch SOZIAL (Soziale_Arbeit, Fairness) sind erfüllt.",0,0,
4JN7NIS4,"Künstliche Intelligenz in der Sozialen Arbeit: Grundlagen, Entwicklungen, Herausforderungen",Steiner (2022),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Exclude,Include,Nein,Not relevant topic,,Theoretisch,Theoretisch,0.95,"Das Paper analysiert KI-Anwendungen (Predictive Risk Modeling, Chatbots) in der Sozialen Arbeit – sowohl TECHNIK (KI_Sonstige: algorithmische Systeme/PRM) als auch SOZIAL (Soziale_Arbeit, Bias_Ungleichheit, Fairness) sind klar erfüllt. Ethische Verantwortungsfragen bei KI-Entscheidungen in sozialen Kontexten und algorithmischer Bias werden substantiell thematisiert. Klarer Include.",9,10,90.00%
4KMMPA6A,Faires KIPrompting – Ein Leitfaden für Unternehmen. BSP Business and Law School – Hochschule für Management und Recht,"Gengler, & Bodrožić-Brnić, (2024)",Nein,Ja,,Ja,,,Ja,,,Ja,,,Nein,,,Nein,,,Ja,,,Nein,,,Ja,,,Nein,,,Ja,,,Include,,,,,Konzept,0.85,"Der Leitfaden behandelt substantiell Prompt-Engineering ('KIPrompting') für Generative KI mit explizitem Fokus auf fairen und diversen Einsatz. AI-Kompetenzen werden durch den Werkzeug-/Kompetenzaspekt adressiert. Fairness und Diversität sind explizit im Titel und Abstract genannt. Technische (Generative KI, Prompting, AI_Literacies) und soziale Kriterien (Fairness, Bias_Ungleichheit, Diversität) sind erfüllt.",0,0,
4LY3SA4E,Flexible intersectional stereotype extraction (FISE): Analyzing intersectional biases in large language models,Charlesworth (2024),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Include,Include,Ja,,,Experimentell,Empirisch,0.92,"Das Paper entwickelt eine Methode (FISE) zur Messung intersektionaler Repräsentationsverzerrungen in LLMs und analysiert Biases bezüglich Race und Gender (weiße Männer-Dominanz). Klarer Technikbezug (Generative KI/LLMs) und sozialer Bezug (Bias, Gender, Diversität, Fairness) sind gegeben. Feministisch nur implizit durch intersektionale Analyse, aber ohne expliziten Verweis auf feministische Theoretikerinnen wie Crenshaw.",7,10,70.00%
4PK8UN82,Recommendations for social work researchers and journal editors on the use of generative AI and large language models,Victor (2023),Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Include,Nein,Duplicate,,Konzept,Konzept,0.95,"Das Paper behandelt substantiell generative KI (LLMs) im Kontext der Sozialen Arbeit (Forschung und Redaktionspraxis). Es entwickelt ein Framework mit konkreten Empfehlungen für Forscher und Herausgeber in der Sozialarbeit. Prompting wird als substantielles Thema behandelt (Disclosure von Prompts gefordert). AI Literacy ist zentral (Bildung über KI-Konstruktion, Limitierungen). Alle drei TECHNIK-Kategorien und Soziale_Arbeit sind klar erfüllt.",6,10,60.00%
4ZL5Q48E,Algorithmic management in a work context,Jarrahi et al. (2021),Nein,Ja,,Nein,,,Nein,,,Nein,,,Ja,,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Include,,,,,Theoretisch,0.75,"Das Paper behandelt algorithmisches Management als soziotechnisches Phänomen (KI_Sonstige) und analysiert kritisch Machtstrukturen, Deskilling, Überwachung und Entfremdung in algorithmisch gesteuerten Arbeitskontexten (Bias_Ungleichheit). Kein direkter Soziale_Arbeit-Bezug, aber substantielle Auseinandersetzung mit strukturellen Ungleichheiten und Machtverhältnissen durch algorithmische Systeme. TECHNIK_OK und SOZIAL_OK erfüllt.",0,0,
55ZR64VU,Debiasing prompts for gender bias in large language models,Kaneko (2024),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Empirisch,Experimentell,0.9,"Das Paper behandelt Debiasing-Prompts für Gender-Bias in Large Language Models. Klarer Fokus auf Prompt-Engineering (Technik) zur Reduktion von Gender-Bias in LLMs. Sowohl TECHNIK (Generative_KI, Prompting) als auch SOZIAL (Bias_Ungleichheit, Gender, Fairness) sind erfüllt. Include-Entscheidung ist eindeutig.",10,10,100.00%
5ERYSQCK,Measuring and identifying factors of individuals' trust in large language models,De Duro (2025),Ja,Ja,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,Exclude,Exclude,Ja,Duplicate,Not_relevant_topic,,Empirisch,0.85,"Das Paper fokussiert auf die Entwicklung einer psychometrischen Skala zur Messung von Vertrauen in LLMs. Es hat einen klaren Technikbezug (Generative KI), aber keinen substantiellen Bezug zu sozialen Kategorien wie Bias, Ungleichheit, Gender, Diversität, Soziale Arbeit oder Fairness. Persönlichkeitsfaktoren und individuelle Unterschiede beim LLM-Vertrauen sind das Thema, nicht soziale Ungleichheiten oder Diskriminierung.",0,0,
