ID,Zotero_Key,Author_Year,Title,AI_Literacies,Generative_KI,Prompting,KI_Sonstige,Soziale_Arbeit,Bias_Ungleichheit,Gender,Diversitaet,Feministisch,Fairness,Decision,Exclusion_Reason,Studientyp,LLM_Confidence,LLM_Reasoning,Input_Source
17,4BRSDIPP,Laupichler et al. (2023),Development of the “Scale for the assessment of non-experts’ AI literacy” – An exploratory factor analysis,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.85,"Das Paper entwickelt ein psychometrisches Messinstrument (SNAIL) für AI Literacy bei Laien – klar AI_Literacies. Jedoch fehlt eine substantielle soziale Dimension: Geschlecht nur als Sampling-Kontrollvariable (keine Gender-Analyse), Diversität nur methodisch motiviert, kein Bezug zu Sozialer Arbeit, Bias/Ungleichheit, Fairness oder feministischer Theorie. TECHNIK_OK, aber SOZIAL nicht erfüllt → Exclude.",KD
18,YDW5TX8M,Deuze & Beckett (2022),"Imagination, Algorithms and News: Developing AI Literacy for Journalism",Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Include,,Konzept,0.85,"Das Paper behandelt substantiell AI Literacy für Journalismus (konzeptuelle Framework-Entwicklung) und KI-Systeme wie ML und Algorithmen. Es adressiert Bias, soziale Ungleichheit, Diversität/Inklusion und Fairness-Fragen im KI-Journalismus-Kontext. TECHNIK_OK durch AI_Literacies und KI_Sonstige; SOZIAL_OK durch Bias_Ungleichheit, Diversitaet und Fairness. Kein Bezug zu Sozialer Arbeit oder feministischer Theorie im engeren Sinne.",KD
19,BBLJ4RG3,Kong et al. (2024),Developing an artificial intelligence literacy framework: Evaluation of a literacy course for senior secondary students using a project-based learning approach,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Include,,Empirisch,0.75,"Das Paper entwickelt ein AI Literacy Framework und evaluiert einen projektbasierten KI-Kurs für Oberstufenschüler:innen (AI_Literacies). Es behandelt klassisches ML wie supervised/unsupervised learning (KI_Sonstige). Diversität wird durch die explizite Zielsetzung adressiert, KI-Literalität universell für alle Bürger:innen zugänglich zu machen, nicht nur für CS-Studierende. Technik- und Sozial-Bedingung sind damit erfüllt. Kein direkter Soziale_Arbeit-Bezug, kein generativer KI-Fokus.",KD
20,FJQ6XYHH,Kong et al. (2025),Artificial Intelligence (AI) literacy – an argument for AI literacy in education,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Include,,Theoretisch,0.85,"Das Paper behandelt substantiell AI Literacy als Bildungskonzept (AI_Literacies) und bezieht sich auf klassische ML/Deep Learning Algorithmen (KI_Sonstige). Es thematisiert Bias, Diskriminierung und gesellschaftliche Auswirkungen von KI (Bias_Ungleichheit) sowie Inklusion für marginalisierte Gruppen wie indigene, ländliche und Minderheitsgemeinschaften (Diversitaet). Kein direkter Sozialarbeitsbezug, keine feministische Theorie, kein Prompting-Fokus. Technik- und Sozialbedingung erfüllt → Include.",KD
21,JMAWNUEV,Jin et al. (2025),GLAT: The generative AI literacy assessment test,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Include,,Empirisch,0.88,"Das Paper entwickelt und validiert ein Messinstrument für GenAI-Literalität (AI_Literacies, Generative_KI). Prompt-Engineering ist eine explizit getestete Kernkompetenz im Instrument (Prompting). Bias in algorithmischen Hiring-Entscheidungen und Fairness-Fragen bei KI-Systemen werden als substantielle Testinhalte behandelt (Bias_Ungleichheit, Fairness). TECHNIK und SOZIAL sind beide erfüllt → Include.",KD
22,7U29SIC8,Sperling et al. (2024),In search of artificial intelligence (AI) literacy in teacher education: A scoping review,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Include,,Literaturreview,0.82,"Das Paper behandelt substantiell AI Literacy im Kontext von Teacher Education (AI_Literacies) und diskutiert ML, NLP, algorithmische Systeme (KI_Sonstige). Auf der sozialen Seite werden Datenbias, algorithmischer Bias in automatisierten Bewertungssystemen (Bias_Ungleichheit) und Fragen der Diversität (unterschiedliche Lernenden-Identitäten, unterrepräsentierte Gruppen) behandelt. Fairness wird nur implizit erwähnt, nicht substantiell als Fairness-Metrik-Framework. Kein direkter Soziale-Arbeit-Bezug.",KD
23,3K9RDWLY,Pinski & Benlian (2023),AI Literacy - Towards Measuring Human Competency in Artificial Intelligence,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.82,"Das Paper entwickelt ein Messinstrument für AI Literacy (TECHNIK_OK via AI_Literacies und KI_Sonstige). Die Erwähnung von 'fairness, accountability, transparency' als Teilaspekt einer Literacy-Dimension ist jedoch zu marginal für ein substantielles Ja bei Fairness, Bias oder Diversität. Kein Bezug zu Sozialer Arbeit, Gender, Bias oder anderen sozialen Kategorien. SOZIAL_OK nicht erfüllt → Exclude.",KD
24,2SNYUZG4,Yan et al. (2024),Promises and challenges of generative artificial intelligence for human learning,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Include,,Theoretisch,0.82,"Das Paper behandelt substantiell GenAI-Technologien (LLMs, Diffusion Models) und AI Literacy im Bildungskontext. Technisch: AI_Literacies und Generative_KI klar erfüllt. Sozial: Digital Divide und Ungleichheiten beim Zugang (Bias_Ungleichheit), Gender-Disparitäten in STEAM (Gender), sowie Inklusion für diverse Lernende inkl. Behinderungen (Diversitaet). Kein direkter Soziale_Arbeit-Bezug, kein explizit feministischer Theorierahmen. Fairness nur marginal erwähnt.",KD
25,SE579V7B,Ng et al. (2021),Conceptualizing AI literacy: An exploratory review,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Include,,Literaturreview,0.92,"Das Paper konzeptualisiert AI Literacy explizit (TECHNIK_OK) und behandelt substantiell Gender-Disparitäten durch Automatisierung (160 Mio. Frauen betroffen), algorithmischen Bias, Fairness/Inklusion sowie Diversität (SOZIAL_OK). Es handelt sich um einen explorativen Literaturreview mit Bloom's Taxonomie als Grundlage. Feministische Theorie wird nicht explizit referenziert, daher Feministisch=Nein. Soziale Arbeit als Praxisfeld wird nicht adressiert.",KD
26,KI9GRGHB,Marjanovic et al. (2022),Theorising algorithmic justice,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Include,,Theoretisch,0.95,"Das Paper entwickelt ein theoretisches Framework zu algorithmischer Gerechtigkeit in automatisierten Entscheidungssystemen mit explizitem Fokus auf Sozialleistungen (KI_Sonstige, Soziale_Arbeit). Es behandelt substantiell Bias/Diskriminierung durch algorithmische Systeme (Bias_Ungleichheit), Fairness-Konzepte (Fairness) sowie Repräsentation vulnerabler und marginalisierter Gruppen (Diversitaet). Alle Kriterien für Include (TECHNIK + SOZIAL) sind erfüllt.",Abstract
27,AMYZFAPH,Perron et al. (2023),Recommendations for social work researchers and journal editors on the use of generative AI and large language models,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Include,,Konzept,0.95,"Das Paper richtet sich explizit an Sozialarbeitsforschende und Zeitschriftenredakteure, adressiert generative KI/LLMs im Forschungskontext der Sozialen Arbeit, und behandelt Prompt Engineering als substantielles Thema. AI Literacy wird durch kritische Auseinandersetzung mit KI-Outputs und Bewertung von AI-generierten Inhalten thematisiert. Alle drei Technik-Kategorien (AI_Literacies, Generative_KI, Prompting) und Soziale_Arbeit sind klar erfüllt.",Abstract
28,VSZM7CT6,Hodgson et al. (2022),"Problematising artificial intelligence in social work education: Challenges, issues and possibilities",Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Include,,Theoretisch,0.95,Das Paper behandelt substantiell KI-Kompetenzentwicklung (AI_Literacies) und kritische digitale Kompetenzen für Soziale Arbeit (Soziale_Arbeit) im Bildungskontext. Es adressiert ungleiche Machtverteilungen durch technologischen Wandel (Bias_Ungleichheit) und kritisiert sowohl technische als auch gesellschaftliche Implikationen von KI. Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt.,Abstract
29,EXRF5629,Spaulding et al. (2023),Predicting successful placements for youth in child welfare with machine learning,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Include,,Empirisch,0.9,"Das Paper verwendet klassisches Machine Learning (Gradient Boosting) zur Vorhersage von Behandlungserfolgen in der Jugendhilfe – ein klarer KI_Sonstige-Bezug. Der direkte Bezug zur sozialarbeiterischen Praxis (child welfare, Jugendhilfe, Platzierungsentscheidungen, Family First Prevention Services Act) erfüllt das Soziale_Arbeit-Kriterium. Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt → Include.",Abstract
30,NSI6S5QE,National Association of Social Workers et al. (2017),"NASW, ASWB, CSWE, & CSWA standards for technology in social work practice",Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Include,,Konzept,0.72,"Dieses Dokument etabliert Technologiestandards für die Soziale Arbeit und behandelt Kompetenzen im Umgang mit Technologie (AI_Literacies) direkt in Bezug auf sozialarbeiterische Praxis und Ausbildung (Soziale_Arbeit). Es adressiert Practitioner Competence, Datenschutz und ethische Leitlinien für Technologieeinsatz. Obwohl der Fokus auf allgemeiner Technologie liegt, ist der Bezug zu KI-Kompetenzen im Kontext der Sozialen Arbeit gegeben.",Abstract
31,7FEFMCBZ,Cheng et al. (2022),How child welfare workers reduce racial disparities in algorithmic decisions,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Include,,Empirisch,0.98,"Das Paper untersucht den Allegheny Family Screening Tool-Algorithmus im Kontext der Jugendhilfe (Soziale Arbeit). Es analysiert algorithmischen Racial Bias in Entscheidungssystemen (KI_Sonstige, Bias_Ungleichheit) und behandelt Fairness-Fragen bei menschlich-algorithmischer Zusammenarbeit im Kinderschutz. Alle drei Kriterien (Technik + mehrere Sozial-Kategorien) sind klar erfüllt.",Abstract
32,LR8Z3YHP,Wadmann & Hoeyer (2020),'Meaningless work': How the datafication of health reconfigures knowledge about work and erodes professional judgement,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.92,"Das Paper behandelt Datafizierung im Gesundheitswesen und deren Auswirkungen auf professionelles Urteilsvermögen. Es gibt keinen Bezug zu KI/ML-Systemen im technischen Sinne und keinen direkten Bezug zu sozialer Arbeit, Gender, Bias oder Fairness in algorithmischen Systemen. Der Fokus liegt auf Digitalisierung und Datendokumentation in der Pflege – kein KI-relevanter Technikbezug erfüllbar.",Abstract
33,P4YQIKJX,Li et al. (2023),Ethics & AI: A systematic review on ethical concerns and related strategies for designing with AI in healthcare,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Include,,Literaturreview,0.75,"Das Paper behandelt KI-Systeme im Gesundheitswesen (KI_Sonstige) und thematisiert substantiell algorithmischen Bias/Diskriminierung (Bias_Ungleichheit) sowie Fairness als zentrale ethische Kategorien. Soziale Arbeit wird nicht direkt adressiert, aber Bias und Fairness sind stark vertreten. TECHNIK_OK durch KI_Sonstige, SOZIAL_OK durch Bias_Ungleichheit und Fairness → Include.",Abstract
34,R7V99ERA,Field et al. (2023),Examining risks of racial biases in NLP tools for child protective services,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Include,,Empirisch,0.98,Das Paper untersucht NLP-Modelle (KI_Sonstige) im Kontext der Kinder- und Jugendhilfe (Soziale_Arbeit) und zeigt systematische Racial Biases (Bias_Ungleichheit) gegenüber Black und Latinx Familien auf. Damit sind sowohl Diversität (Repräsentation marginalisierter Gruppen) als auch algorithmische Fairness substantiell adressiert. Beide Bedingungen (TECHNIK + SOZIAL) sind klar erfüllt.,Abstract
35,4ZL5Q48E,Jarrahi et al. (2021),Algorithmic management in a work context,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Include,,Theoretisch,0.72,"Das Paper behandelt algorithmisches Management als soziotechnisches Phänomen (KI_Sonstige) und thematisiert substantiell Machtstrukturen, Überwachung, Deskilling und Entfremdung durch algorithmische Systeme (Bias_Ungleichheit). Kein direkter Soziale-Arbeit-Bezug, aber strukturelle Ungleichheiten im Arbeitskontext werden kritisch analysiert. Die soziale Dimension (Bias_Ungleichheit) ist durch die Thematisierung von Machtdynamiken, Kontrolle und Entfremdung substantiell vertreten.",Abstract
36,ZQHP5G35,Jørgensen (2023),Data and rights in the digital welfare state: the case of Denmark,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Include,,Theoretisch,0.92,"Das Paper analysiert algorithmische Entscheidungssysteme im dänischen Wohlfahrtsstaat (KI_Sonstige: Predictive Analytics, automatisierte Entscheidungsunterstützung). Der direkte Bezug zu Wohlfahrtsverwaltung und Sozialhilfe erfüllt Soziale_Arbeit. Bias_Ungleichheit ist gegeben durch Kritik an Profiling, Überwachung und Entmachtung von Bürger:innen. Fairness-Aspekte werden durch die Forderung nach menschenzentrierten Ansätzen adressiert. Beide Kriterien (Technik und Sozial) sind erfüllt.",Abstract
37,A2P8MXMY,Keddell (2019),"Algorithmic justice in child protection: Statistical fairness, social justice and the implications for practice",Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Include,,Theoretisch,0.97,"Das Paper behandelt substantiell algorithmische Entscheidungssysteme (predictive algorithms) im Kinderschutz (KI_Sonstige, Soziale_Arbeit). Es analysiert Bias und strukturelle Diskriminierung gegen Indigenous, Black und arme Familien (Bias_Ungleichheit, Diversitaet) sowie statistische und soziale Fairness-Metriken (Fairness). Alle Bedingungen für Include sind erfüllt.",Abstract
38,ZITLBM8A,Singer et al. (2023),ChatGPT for social work science: Ethical challenges and opportunities,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Include,,Konzept,0.95,"Das Paper behandelt substantiell ChatGPT/LLMs (Generative_KI) in der Sozialen Arbeit (Soziale_Arbeit), thematisiert algorithmischen Bias (Bias_Ungleichheit) und betont kritische Evaluation von KI-Outputs (AI_Literacies). Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt, daher Include.",Abstract
39,QI5AYE4V,McDonald et al. (2023),Algorithmic decision-making in social work practice and pedagogy: Confronting the competency/critique dilemma,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Include,,Konzept,0.95,"Das Paper behandelt substantiell algorithmische Entscheidungssysteme (ADM) in der Sozialen Arbeit und entwickelt ein Konzept der 'algorithmischen Literalität' für die Sozialarbeitsausbildung. Es thematisiert kritisch ungleiche Machtverteilungen durch technologischen Wandel. Alle drei Kernkategorien (AI_Literacies, KI_Sonstige, Soziale_Arbeit) sowie Bias_Ungleichheit sind klar erfüllt.",Abstract
40,WTLVG29I,Reamer (2023),Artificial intelligence in social work: Emerging ethical issues,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Include,,Konzept,0.97,"Das Paper behandelt KI in der Sozialen Arbeit substantiell: algorithmischen Bias, Ethik-Protokolle, Kompetenzentwicklung für KI-Anwendungen (AI Literacy) und Fairness in Risikobewertungssystemen. Direkter Soziale-Arbeit-Bezug durch Fokus auf sozialarbeiterische Praxis und Ausbildung. Alle vier Kategorien (TECHNIK: AI_Literacies, KI_Sonstige; SOZIAL: Soziale_Arbeit, Bias_Ungleichheit, Fairness) klar erfüllt.",Abstract
41,J7V3AAQT,Sabour et al. (2023),A chatbot for mental health support: Exploring the impact of Emohaa on reducing mental distress in China,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.85,"Das Paper behandelt einen KI-Chatbot für mentale Gesundheit (algorithmisches System), erfüllt damit die Technik-Bedingung. Jedoch fehlt ein Bezug zu sozialer Ungleichheit, Bias, Gender, Diversität, feministischer Theorie, Fairness oder Sozialer Arbeit im engeren Sinne. Es handelt sich um eine klinisch-psychologische RCT-Studie ohne Sozialarbeitsbezug oder relevante soziale Dimensionen.",Abstract
42,9WIGR47Y,Rodríguez-Martínez et al. (2024),Ethical issues related to the use of technology in social work practice: A systematic review,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Include,,Literaturreview,0.92,"Das Paper ist ein systematisches Literaturreview zu ethischen Herausforderungen der Technologieintegration in der Sozialen Arbeit. Es behandelt substantiell algorithmische Entscheidungssysteme (KI_Sonstige), digitale Kompetenz in der Ausbildung (AI_Literacies), hat direkten Sozialarbeitsbezug, thematisiert digitale Diskriminierung und Ungleichheit (Bias_Ungleichheit), Diversität marginalisierter Gruppen, sowie algorithmische Fairness und ethische Standards. Beide Bedingungen (TECHNIK und SOZIAL) sind klar erfüllt.",KD
