work_id,title,flags,review_status,legacy_work_ids
work:4ceaffbe-54e4-5865-acd6-bffa1af7ac55,Intersectional Fairness in Large Language Models,"[""input_doi_is_datacite_arxiv_doi"", ""no_publisher_version_identified"", ""no_version_of_record_identifier_found""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""fulltext_available""}","[""doi:10.48550/arxiv.2604.20677""]"
work:702fdf21-e0e7-5903-a2e7-d64ce0842858,Ethical AI through a Feminist Lens: Challenging Power and Redefining Technology,"[""cross_lane_duplicate_consolidated"", ""crossref_title_omits_subtitle"", ""no_open_fulltext_found""]","{""identity"": ""confirmed"", ""metadata"": ""conflict"", ""source"": ""abstract_only""}","[""doi:10.1201/9781003585527-19""]"
work:76eafb72-f674-51b7-b980-05ca1e500f58,Verbesserung der KI-Literacy von Lehrenden im Hochschulbereich,"[""input_uses_german_component_of_bilingual_title""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""fulltext_available""}","[""doi:10.21240/zfhe/sh-ki-1/09""]"
work:7bec80be-f7f9-516a-8845-7215f683db24,Does being literate in AI make workplaces more equal? The mediating role of psychological capital,"[""accepted_manuscript_and_version_of_record_identified"", ""publisher_fulltext_access_not_established"", ""repository_labels_accepted_version_but_filename_says_proof""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""fulltext_available""}","[""doi:10.1108/ijssp-02-2026-0125""]"
work:8111287c-84d0-5fe4-9bd5-fb5ded077905,Characterizing Selective Refusal Bias in Large Language Models,"[""candidate_work_requires_identity_adjudication"", ""input_authors_conflict_with_source_work_authors"", ""input_authors_do_not_match_primary_source"", ""input_title_conflicts_with_source_work_title"", ""input_title_does_not_match_primary_source"", ""preprint_and_version_of_record_identified"", ""supplied_acl_identifier_points_to_different_work""]","{""identity"": ""conflict"", ""metadata"": ""conflict"", ""source"": ""ambiguous""}","[""title:safety guardrails in large language models and selective refusal bias""]"
work:88f2c72f-f921-556b-9ff3-9bd58eb35e38,From salad bar feminism to denotative portraiture: How neoliberalism shapes feminism in AI-Generated visuals,"[""accepted_manuscript_and_version_of_record_identified"", ""accepted_manuscript_embargoed_until_2026_12_07"", ""no_currently_open_fulltext_found"", ""online_first_2025_repository_citation_year_2026""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""abstract_only""}","[""doi:10.1080/14680777.2025.2593317""]"
work:be146ab5-46d5-531d-9f2a-62aedf1e54e0,Critical Literacy in an AI World,"[""input_doi_missing_recovered"", ""input_year_2025_but_publisher_lists_2026"", ""no_open_fulltext_found"", ""publisher_copyright_year_differs_from_crossref_publication_year""]","{""identity"": ""confirmed"", ""metadata"": ""conflict"", ""source"": ""abstract_only""}","[""title:critical literacy in an ai world""]"
work:c8ae8d5b-fcdc-5cac-9969-519b06516912,AI Literacy and Gender Bias: Comparative Perspectives from the UK and Indonesia,"[""input_author_list_incomplete""]","{""identity"": ""confirmed"", ""metadata"": ""conflict"", ""source"": ""fulltext_available""}","[""doi:10.3390/educsci15091143""]"
work:cb1293bf-0c88-59cb-ac2c-ee567a14cd25,Black feminism and Artificial Intelligence: the possibilities and limitations of contesting discriminatory AI from a critical social theory perspective,"[""publisher_correction_history_present"", ""publisher_records_post_publication_correction_same_doi""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""fulltext_available""}","[""doi:10.3389/fsoc.2025.1602947""]"
work:ce1b3961-e4e4-5bd2-a6a8-b97ef7fbc90f,Algorithm beyond Neutrality: Feminist Approaches to Redefining Artificial Intelligence,[],"{""identity"": ""confirmed"", ""metadata"": ""conflict"", ""source"": ""fulltext_available""}","[""doi:10.2991/978-94-6239-618-0_20""]"
work:e0680eb6-6ddd-5f4a-ae90-29d2359cba3e,AI Ethics for the Global Majority: Lessons from Decolonial Feminist Bioethics,"[""no_open_fulltext_found""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""abstract_only""}","[""doi:10.1007/978-3-032-07830-8_12""]"
work:f23df8e7-b57c-555e-8a09-afa5a74b659f,Unveiling gender bias in AI: A classroom reflection on media representation and AI literacy in postgraduate education,[],"{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""fulltext_available""}","[""doi:10.3828/dap.2026.7""]"
work:f50cd1ef-241a-515c-b970-b491ce2b97f7,Power Imbalances in Society and AI: On the Need to Expand the Feminist Approach,"[""input_author_given_name_conflict_wudel"", ""no_open_fulltext_found"", ""prior_published_version_identified""]","{""identity"": ""confirmed"", ""metadata"": ""conflict"", ""source"": ""abstract_only""}","[""doi:10.1007/978-3-031-80119-8_6""]"
