work_id,title,record_ids,preferred_version_id,human_decisions,human_substantive_decisions,human_duplicate_record_ids,human_metadata_error_record_ids,historical_identity_bindings,historical_resolution,integrity_hold,agent_decisions,decision_authority,human_verification,agent_lifecycle_states,current_ai_review_results,corrected_ai_record_ids,ai_correction_provenance,open_ai_source_review_record_ids,effective_decision,analysis_eligible,analysis_conflicts,analysis_undecidable,conflicts,source_queue_status,source_blockers,source_acquisition_progress,next_actions
work:14f0bfe9-8437-5256-be9d-8045d7562326,Artificial Intelligence (AI) literacy – an argument for AI literacy in education,"[""FJQ6XYHH""]",version:06fea5c4-a2e9-5134-a268-3cb083ed8dd1,"[""Exclude""]","[""Exclude""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Exclude,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits""]"
work:16b31903-3ab2-5cc8-bfaf-bb50fc92d609,"Are ""Intersectionally Fair"" AI Algorithms Really Fair to Women of Color? A Philosophical Analysis","[""Q4LK53XW""]",version:202a209b-9a67-5437-8010-848149dee938,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:177818d9-5d08-5c7d-b786-1063b52eb8c9,"Artificial Intelligence in Social Sciences and Social Work: Bridging Technology and Humanity to Revolutionize Research, Policy, and Human Services","[""SS5HTYY6""]",version:e0132e00-9c92-5ac1-a488-4df62ba89fc0,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:17d0c962-403d-530b-b2e2-afe16ce4ca3d,Trust in artificial intelligence–based clinical decision support systems among health care workers: Systematic review,"[""ERTJZW5M"", ""GFHALQS2""]",version:603d1ae1-351d-5774-9749-3732b19ae57c,"[""Exclude"", ""Include""]","[""Include""]","[""GFHALQS2""]",[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:190638a5-2d71-5ad6-af0f-c97f18e938e9,Shaping feminist artificial intelligence,"[""BJZYGNEE"", ""IGFYSIV8"", ""SHDNTZJZ""]",version:6f564928-31c7-562c-8ee1-017bab19c05f,"[""Exclude"", ""Include""]","[""Include""]","[""BJZYGNEE"", ""IGFYSIV8""]",[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:1a3134a5-7cab-528c-b832-9fc4c875d809,"AI literacy for users – A comprehensive review and future research directions of learning methods, components, and effects","[""7G78SADI""]",version:b1631371-6931-59a7-a10b-6c4cd5f8a592,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:1bbf69b4-ba85-5bc0-82e5-e3554b788658,"AI Gender Bias, Disparities, and Fairness: Does Training Data Matter?","[""CHJQ52DC"", ""CSJS9JGH""]",version:ed0cecb4-269e-54d9-9f4c-0f2a35588a17,"[""Exclude"", ""Include""]","[""Exclude"", ""Include""]",[],[],{},"{""agent_id"": ""/root/research_completion"", ""model"": ""GPT-6"", ""model_id_status"": ""family disclosed by runtime; exact deployment identifier not exposed"", ""reviewed_at"": ""2026-09-05T14:46:15Z"", ""work_id"": ""work:1bbf69b4-ba85-5bc0-82e5-e3554b788658"", ""record_ids"": [""CHJQ52DC"", ""CSJS9JGH""], ""outcome"": ""pending"", ""resolution_kind"": ""substantive_human_conflict_with_source_version_error"", ""base_registry_work_sha256"": ""sha256:fc520e890c6aa6db7d949f42fe3cbf53ceebd01543353af6a1cf8c4fb8f36ea7"", ""historical_rows"": [{""record_id"": ""CHJQ52DC"", ""historical_row_sha256"": ""sha256:dd01177359bd37d9e057530574770300e3ae596e0a2b015a4b002b4a9c9ce32e"", ""decision"": ""Include"", ""reason"": """", ""notes"": """"}, {""record_id"": ""CSJS9JGH"", ""historical_row_sha256"": ""sha256:acad0658ea3ccfa9b5ced47d77ef4f7e38863c9edc98e52484dc064d74411ad0"", ""decision"": ""Exclude"", ""reason"": ""Not relevant topic"", ""notes"": ""kein Bezug zu generativ""}], ""administrative_record_dispositions"": [], ""round1_effective_decision"": null, ""recommended_round2_decision"": ""Include"", ""recommended_round2_scope"": ""Substantive eligibility under the current three-level/publication-type rules; existing-corpus completion, not a claim to fall inside the original round-two search window."", ""human_annotations_unchanged"": true, ""reason"": ""Both exact preprints centrally study gender bias/fairness with BERT and GPT-3.5; v2 already uses GPT-3.5, so the historical exclusion rationale \""kein Bezug zu generativ\"" is contradicted by the cited source. AI/ML plus explicit gender bias satisfies the two-dimensional topical rule even without demanding a social-work setting. Nevertheless, opposing consolidated human decisions cannot be converted into a new human consensus by this audit. Preserve the round-one conflict; the new Include is an attributed proposal. Current CHJQ52DC fulltext is v2 text despite its v4 binding, so version-specific synthesis is withheld pending repair."", ""evidence"": [{""source_path"": ""corpus/source-acquisition/historical-resolution-2026-09-05/latif-v2.txt"", ""sha256"": ""sha256:f59619a08a897c02f336f05c97a868463cef553bce79a123c0a0984d09516e0e"", ""source_url"": ""https://arxiv.org/html/2312.10833v2"", ""locator"": ""3.2 Experimental Setup"", ""work_id"": ""work:1bbf69b4-ba85-5bc0-82e5-e3554b788658"", ""version_id"": ""version:da2331e7-739b-5c3e-957e-201e341ac34c"", ""quote"": ""fine-tuned using both BERT and GPT-3.5, respectively.""}, {""source_path"": ""corpus/source-acquisition/historical-resolution-2026-09-05/latif-v4.txt"", ""sha256"": ""sha256:fa9a2f3f7766fe5a5bd63ce65c9ad412122e42221e9c01e5453679fbac21c18f"", ""source_url"": ""https://arxiv.org/html/2312.10833v4"", ""locator"": ""version header and 3.2 Experimental Setup"", ""work_id"": ""work:1bbf69b4-ba85-5bc0-82e5-e3554b788658"", ""version_id"": ""version:ed0cecb4-269e-54d9-9f4c-0f2a35588a17"", ""quote"": ""arXiv:2312.10833v4 [cs.CY] 27 Jan 2025""}, {""source_path"": ""corpus/source-acquisition/historical-resolution-2026-09-05/latif-history.txt"", ""sha256"": ""sha256:ddc931d4f3e9a13d843fac2421e05b2ab5c179e4564a24548712a10e6c4e9494"", ""source_url"": ""https://arxiv.org/abs/2312.10833"", ""locator"": ""Submission history v2 and v4""}, {""source_path"": ""corpus/source-acquisition/historical-resolution-2026-09-05/CHJQ52DC-reviewed-text-snapshot.md"", ""sha256"": ""sha256:776fae7570809043b44329258cde59db5af9441cb93bc9de7dedbf5531eaddca"", ""source_url"": ""https://arxiv.org/html/2312.10833v2"", ""locator"": ""Abstract: downloaded representation reproduces v2, not the assigned v4"", ""assigned_version_id"": ""version:ed0cecb4-269e-54d9-9f4c-0f2a35588a17"", ""actual_source_version_id"": ""version:da2331e7-739b-5c3e-957e-201e341ac34c"", ""quote"": ""more than 1000 human-graded student responses"", ""snapshot_of_local_path"": ""docs/data/fulltext/CHJQ52DC.md"", ""snapshot_purpose"": ""Preserve the exact reviewed text bytes independently of regenerable full-text assets; no new source reading, identity decision or scientific review is inferred.""}], ""metadata_correction_proposals"": [{""target_artifact"": ""corpus/work_version_registry.json"", ""target_work_id"": ""work:1bbf69b4-ba85-5bc0-82e5-e3554b788658"", ""target_version_id"": ""version:ed0cecb4-269e-54d9-9f4c-0f2a35588a17"", ""path"": ""/works/28/versions/1/version_date"", ""before"": ""2024"", ""after"": ""2025-01-27"", ""reason"": ""Official exact arXiv v4 date."", ""proposal_only"": true}, {""target_artifact"": ""corpus/work_version_registry.json"", ""target_work_id"": ""work:1bbf69b4-ba85-5bc0-82e5-e3554b788658"", ""target_version_id"": ""version:da2331e7-739b-5c3e-957e-201e341ac34c"", ""path"": ""/works/28/versions/0/version_date"", ""before"": ""2023"", ""after"": ""2023-12-26"", ""reason"": ""Official exact arXiv v2 date."", ""proposal_only"": true}], ""required_next_steps"": [""use_newly_captured_exact_v4_representation_for_CHJQ52DC_after_representation_QC"", ""retain_v2_for_CSJS9JGH"", ""obtain_explicit_adjudication_of_opposing_historical_human_decisions""], ""integrity_hold"": false, ""withhold_from_current_synthesis"": true, ""workflow_action"": ""retain_human_conflict_and_repair_source_version_binding""}",False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],,False,{},{},"[""conflicting_human_decisions"", ""source_version_hold""]",,[],[],"[""reconcile_recorded_divergences_without_overwriting_human_track"", ""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""use_newly_captured_exact_v4_representation_for_CHJQ52DC_after_representation_QC"", ""retain_v2_for_CSJS9JGH"", ""obtain_explicit_adjudication_of_opposing_historical_human_decisions"", ""withhold_from_current_synthesis""]"
work:1c7bb6b2-9c36-5199-a172-76003d7cb61f,"The AI Act, gender equality and non-discrimination: what role for the AI Office?","[""UBYTNGNV""]",version:cdbc8e30-1194-5e81-9669-cd338627231f,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:1d6d18e8-3caa-5677-b0c0-b46ab20aab43,Towards Substantive Equality in Artificial Intelligence: Transformative AI Policy for Gender Equality and Diversity,"[""DWS4KXBW"", ""XIYX5HJS""]",version:90faf9e0-b434-58d6-b13f-fac33e8c09b3,"[""Exclude"", ""Include""]","[""Include""]","[""XIYX5HJS""]",[],{},,False,"[""Include""]",legacy_human,legacy_human_annotation_not_new_lifecycle_verification,"[""ai-agent-reviewed""]","[""accepted""]",[],[],[],Include,True,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""retain_ai_review_tier_and_record_any_further_review_at_artifact_level""]"
work:1d8d1543-39a4-5471-a8a5-2c6c7ab35a66,AI Creates the Message: Integrating AI Language Learning Models into Social Work Education and Practice,"[""VICS443I""]",version:4039553f-8998-54e4-a440-ef4bd8f9cee2,"[""Exclude""]","[""Exclude""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Exclude,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits""]"
work:1d90c6d8-2bb3-524f-a584-983167355ffb,Engineers on responsibility: feminist approaches to who's responsible for ethical AI,"[""HJ7BHX8J""]",version:37ed4ff2-3eba-593d-bba8-7afb93102265,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:1dff2609-2e68-5911-bf56-71ad8122b6a5,"Problematising artificial intelligence in social work education: Challenges, issues and possibilities","[""VSZM7CT6""]",version:b2b10532-00e5-592e-8f16-6a4d6191dc2e,[],[],[],[],{},,False,"[""Include""]",ai_review,not_recorded,"[""ai-agent-reviewed""]","[""accepted""]","[""VSZM7CT6""]","[{""record_id"": ""VSZM7CT6"", ""artifact"": ""generated/verification/screening-corrections-d.json#/corrections/VSZM7CT6"", ""sha256"": ""sha256:c6f64bf88a158ef071648b270861394bc1a1b658648faca1b54cef1c467bd23d"", ""base_artifact"": ""docs/data/screening/ar2.json#/decisions/VSZM7CT6"", ""base_sha256"": ""sha256:114a36d307946899b31e42dd9ebb05424df30cdd4170f88f3b2bcefaa989bd4a"", ""agent_id"": ""/root/aggregation"", ""model"": ""GPT-6"", ""reviewed_at"": ""2026-09-05T15:11:56.464379+00:00"", ""corrected_at"": ""2026-09-05T15:11:56.462117+00:00""}]",[],Include,True,{},{},[],,[],[],"[""retain_ai_review_tier_and_record_any_further_review_at_artifact_level""]"
work:1e826f89-6e09-5913-8123-3ac66ded5a06,Exploring complex mental health symptoms via classifying social media data with explainable LLMs,"[""VEJBIZRR""]",version:8689dcc6-a7a3-5f00-b4c5-6fb624104037,"[""Exclude""]","[""Exclude""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Exclude,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits""]"
work:21fb26e6-0662-58b2-bb09-35d6c7c54bdd,A reparative turn in AI,"[""BDBYDLVK""]",version:2d26a6cc-3bf8-5307-8c3c-ef886f731030,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:22fdc9d9-45f1-5564-b5ec-13f1d0795dd2,Reasoning towards fairness: Mitigating bias in language models through reasoning-guided fine-tuning,"[""SQYLQFRU""]",version:8df649a5-eae4-54d8-9105-3768e0083beb,[],[],[],[],{},,False,[],unassessed,not_recorded,[],[],[],[],[],,False,{},{},[],blocked_missing_paper_source,"[""reviewed_fulltext_markdown_missing""]","[{""record_id"": ""SQYLQFRU"", ""agent_id"": ""/root/grounded_chat"", ""model"": ""GPT-6"", ""model_id_status"": ""family disclosed by runtime; exact deployment identifier not exposed"", ""reviewed_at"": ""2026-09-05T15:40:49.955416+00:00"", ""canonical_binding_before"": {""work_id"": ""work:22fdc9d9-45f1-5564-b5ec-13f1d0795dd2"", ""version_id"": ""version:8df649a5-eae4-54d8-9105-3768e0083beb""}, ""raw_metadata_reference"": ""corpus/zotero_export.json#/206"", ""raw_record_sha256"": ""sha256:6a8c7d8d715a5fd9162fcd1d09f57b0fd7f0fd5754c2bb243b54663166f45865"", ""previous_status"": ""blocked_canonical_identity_conflict"", ""scholarly_screening_status"": ""not_performed_in_this_task"", ""metadata_status"": ""corrected_in_guarded_local_projection"", ""correction_reference"": ""corpus/metadata_corrections.json#/corrections/5"", ""before_after"": [{""field"": ""creators"", ""before"": [{""creatorType"": ""author"", ""firstName"": ""A."", ""lastName"": ""Furniturewala""}, {""creatorType"": ""author"", ""firstName"": ""A."", ""lastName"": ""Zhang""}, {""creatorType"": ""author"", ""firstName"": ""K."", ""lastName"": ""Chang""}], ""after"": [{""creatorType"": ""author"", ""firstName"": ""Sanchit"", ""lastName"": ""Kabra""}, {""creatorType"": ""author"", ""firstName"": ""Akshita"", ""lastName"": ""Jha""}, {""creatorType"": ""author"", ""firstName"": ""Chandan K."", ""lastName"": ""Reddy""}], ""reason"": ""Exact title identity is confirmed by the original arXiv record; the secondary summary supplied incorrect authors and 2024 year. The selected original-source version is v3, revised 5 June 2025; first submission was 8 April 2025. The citation date here names the selected version, not a new distinct Work.""}, {""field"": ""date"", ""before"": ""2024"", ""after"": ""2025-06-05"", ""reason"": ""Exact title identity is confirmed by the original arXiv record; the secondary summary supplied incorrect authors and 2024 year. The selected original-source version is v3, revised 5 June 2025; first submission was 8 April 2025. The citation date here names the selected version, not a new distinct Work.""}, {""field"": ""itemType"", ""before"": ""report"", ""after"": ""preprint"", ""reason"": ""Exact title identity is confirmed by the original arXiv record; the secondary summary supplied incorrect authors and 2024 year. The selected original-source version is v3, revised 5 June 2025; first submission was 8 April 2025. The citation date here names the selected version, not a new distinct Work.""}, {""field"": ""repository"", ""before"": null, ""after"": ""arXiv"", ""reason"": ""Exact title identity is confirmed by the original arXiv record; the secondary summary supplied incorrect authors and 2024 year. The selected original-source version is v3, revised 5 June 2025; first submission was 8 April 2025. The citation date here names the selected version, not a new distinct Work.""}, {""field"": ""DOI"", ""before"": """", ""after"": ""10.48550/arXiv.2504.05632"", ""reason"": ""Exact title identity is confirmed by the original arXiv record; the secondary summary supplied incorrect authors and 2024 year. The selected original-source version is v3, revised 5 June 2025; first submission was 8 April 2025. The citation date here names the selected version, not a new distinct Work.""}, {""field"": ""url"", ""before"": ""https://powerdrill.ai/discover/summary-reasoning-towards-fairness-mitigating-bias-in-cm9af0g1h7sb507pn7f5qh32q"", ""after"": ""https://arxiv.org/abs/2504.05632v3"", ""reason"": ""Exact title identity is confirmed by the original arXiv record; the secondary summary supplied incorrect authors and 2024 year. The selected original-source version is v3, revised 5 June 2025; first submission was 8 April 2025. The citation date here names the selected version, not a new distinct Work.""}], ""finding"": ""Exact title identity is confirmed by the original arXiv record; the secondary summary supplied incorrect authors and 2024 year. The selected original-source version is v3, revised 5 June 2025; first submission was 8 April 2025. The citation date here names the selected version, not a new distinct Work."", ""evidence"": [{""source_path"": ""corpus/source-acquisition/residual-resolution-2026-09-05/kabra-arxiv-metadata.json"", ""sha256"": ""sha256:caf3057760abe06a04b2bffe47e15b553f7afd9b7abd7184cb805993ddbfd498"", ""source_url"": ""https://arxiv.org/abs/2504.05632v3"", ""locator"": ""citation_meta; submission_history [v1] and [v3]; license_links""}], ""integration_rule"": ""Preserve the corrected record identity when rebuilding, discard wrong former identifiers rather than making them aliases, and bind only the exact original version. Historical raw rows remain immutable."", ""source_status"": ""original_fulltext_acquired_pending_source_binding_and_screening"", ""source_ready"": true, ""original_text"": {""source_path"": ""corpus/source-acquisition/residual-resolution-2026-09-05/kabra-arxiv-v3-text.md"", ""sha256"": ""sha256:bac6454052cd33fa790fde5c12b2bfc10fd340fb20433725feecd6a804283620"", ""source_url"": ""https://arxiv.org/html/2504.05632v3"", ""locator"": ""Original article heading, full main text, references and appendices in DOM order""}, ""primary_version"": {""arxiv_version"": ""v3"", ""version_date"": ""2025-06-05"", ""first_submitted"": ""2025-04-08"", ""license"": ""CC BY 4.0""}, ""extraction_limits"": ""Complete original HTML article text, not a summary; figure pixels are not copied and mathematical/table layout can lose structure. No category scores or substantive findings are accepted by this acquisition task."", ""next_step"": ""Bind the acquired text to this exact arXiv version and conduct a fresh source-bound screening; no borrowed decision from the former unrelated URL.""}]","[""resolve_source_blockers_then_governed_screening"", ""Bind the acquired text to this exact arXiv version and conduct a fresh source-bound screening; no borrowed decision from the former unrelated URL.""]"
work:255646a3-a014-54e9-b597-7537785a21a1,Improving diversity of demographic representation in people entities in Large Language Models,"[""DUV4TUG3""]",version:7539a4c6-373c-575c-9062-b443f43cb3ee,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:274c5f4c-1ca0-5503-b76e-dbd4c2b731ad,"Algorithms, artificial intelligence and discrimination","[""QZJL6KBZ""]",version:61a57f9e-e7f6-5852-b184-b76fc7561f90,"[""Exclude""]","[""Exclude""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Exclude,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits""]"
