candidate_id,title,doi,selected_version_date,source_lanes,zotero_status,canonical_bindings,canonical_binding_evidence,canonical_binding_candidates,observed_live_zotero_record_ids,live_zotero_membership_observed,source_readiness,recorded_source_ready,source_hash_matches,screening_markdown_file,screening_status,conflicts_or_constraints,pending_zotero_corrections,next_actions
codex-websearch-2026:doi:10.1016/j.ijmedinf.2026.106582,"Integrating diversity, equity, and inclusion in generative AI applications for healthcare education: a scoping review",10.1016/j.ijmedinf.2026.106582,2026-07-02,"[""B""]",import_ready,"[{""record_id"": ""XQCZTTIK"", ""work_id"": ""work:c7e78e57-eccc-510a-810a-491bf50ecb85"", ""version_id"": ""version:d2459533-5048-50ca-ada3-6f9649c4897a""}]","[{""work_id"": ""work:c7e78e57-eccc-510a-810a-491bf50ecb85"", ""version_id"": ""version:d2459533-5048-50ca-ada3-6f9649c4897a"", ""evidence_tokens"": [""doi:10.1016/j.ijmedinf.2026.106582""], ""record_ids"": [""XQCZTTIK""]}]","[{""work_id"": ""work:c7e78e57-eccc-510a-810a-491bf50ecb85"", ""version_id"": ""version:d2459533-5048-50ca-ada3-6f9649c4897a"", ""evidence_tokens"": [""doi:10.1016/j.ijmedinf.2026.106582""], ""record_ids"": [""XQCZTTIK""]}]","[""XQCZTTIK""]",True,fulltext_access_not_available,False,False,,identified_not_screened,[],[],"[""acquire_or_complete_source_preparation"", ""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1016/j.mcpdig.2026.100344,"Implicit Gender, Racial, and Ethnic Biases in Large Language Models: An Audit Study of Automated Psychiatric Diagnoses",10.1016/j.mcpdig.2026.100344,2026-03-06,"[""B""]",import_ready,"[{""record_id"": ""UGN4TS5R"", ""work_id"": ""work:e62005d4-d179-5cef-af39-3aca00c24a04"", ""version_id"": ""version:26f29a81-72da-5a66-8302-ba39cafbae87""}]","[{""work_id"": ""work:e62005d4-d179-5cef-af39-3aca00c24a04"", ""version_id"": ""version:26f29a81-72da-5a66-8302-ba39cafbae87"", ""evidence_tokens"": [""doi:10.1016/j.mcpdig.2026.100344""], ""record_ids"": [""UGN4TS5R""]}]","[{""work_id"": ""work:e62005d4-d179-5cef-af39-3aca00c24a04"", ""version_id"": ""version:26f29a81-72da-5a66-8302-ba39cafbae87"", ""evidence_tokens"": [""doi:10.1016/j.mcpdig.2026.100344""], ""record_ids"": [""UGN4TS5R""]}]","[""UGN4TS5R""]",True,agent_qc_approved,True,True,generated/source-acquisition/codex-websearch-2026/html-markdown/166a9834b422f052b7c5.md,identified_not_screened,[],[],"[""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1016/j.techsoc.2026.103402,Inclusive generative AI and the dynamics of inequality: A capability-resource model of adoption disparities,10.1016/j.techsoc.2026.103402,2026-08,"[""B""]",import_ready,"[{""record_id"": ""T7FGTQF4"", ""work_id"": ""work:83bb860d-1a78-5961-8b53-d8f0498ad6a8"", ""version_id"": ""version:5f6c22bc-8829-55cd-b2d9-96432cb1b62b""}]","[{""work_id"": ""work:83bb860d-1a78-5961-8b53-d8f0498ad6a8"", ""version_id"": ""version:5f6c22bc-8829-55cd-b2d9-96432cb1b62b"", ""evidence_tokens"": [""doi:10.1016/j.techsoc.2026.103402""], ""record_ids"": [""T7FGTQF4""]}]","[{""work_id"": ""work:83bb860d-1a78-5961-8b53-d8f0498ad6a8"", ""version_id"": ""version:5f6c22bc-8829-55cd-b2d9-96432cb1b62b"", ""evidence_tokens"": [""doi:10.1016/j.techsoc.2026.103402""], ""record_ids"": [""T7FGTQF4""]}]","[""T7FGTQF4""]",True,fulltext_access_not_available,False,False,,identified_not_screened,[],[],"[""acquire_or_complete_source_preparation"", ""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1038/s41746-026-02584-8,"New model, old risks: sociodemographic bias and adversarial hallucinations vulnerability in GPT-5",10.1038/s41746-026-02584-8,2026-04-04,"[""B""]",import_ready,"[{""record_id"": ""RH8MC67Z"", ""work_id"": ""work:ca3ae89d-5ddd-5036-a44d-165c58097219"", ""version_id"": ""version:16b6e46e-829c-5531-b8cd-967ddca17abe""}]","[{""work_id"": ""work:ca3ae89d-5ddd-5036-a44d-165c58097219"", ""version_id"": ""version:16b6e46e-829c-5531-b8cd-967ddca17abe"", ""evidence_tokens"": [""doi:10.1038/s41746-026-02584-8""], ""record_ids"": [""RH8MC67Z""]}]","[{""work_id"": ""work:ca3ae89d-5ddd-5036-a44d-165c58097219"", ""version_id"": ""version:16b6e46e-829c-5531-b8cd-967ddca17abe"", ""evidence_tokens"": [""doi:10.1038/s41746-026-02584-8""], ""record_ids"": [""RH8MC67Z""]}]","[""RH8MC67Z""]",True,agent_qc_approved,True,True,generated/source-acquisition/codex-websearch-2026/markdown-clean/1e429407d9b091311a65.md,identified_not_screened,[],[],"[""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1038/s44360-026-00152-8,Addressing benchmarking gaps in large language models for health and medicine with dynamic red-teaming,10.1038/s44360-026-00152-8,2026-07-15,"[""C""]",import_ready,"[{""record_id"": ""KUVUZMDU"", ""work_id"": ""work:f43c0a7f-e499-5be3-8deb-a100f15cafab"", ""version_id"": ""version:13610000-bc8f-53c8-a01f-0a9ab5d2c33c""}]","[{""work_id"": ""work:f43c0a7f-e499-5be3-8deb-a100f15cafab"", ""version_id"": ""version:13610000-bc8f-53c8-a01f-0a9ab5d2c33c"", ""evidence_tokens"": [""doi:10.1038/s44360-026-00152-8"", ""url:https://www.nature.com/articles/s44360-026-00152-8""], ""record_ids"": [""KUVUZMDU""]}]","[{""work_id"": ""work:f43c0a7f-e499-5be3-8deb-a100f15cafab"", ""version_id"": ""version:13610000-bc8f-53c8-a01f-0a9ab5d2c33c"", ""evidence_tokens"": [""doi:10.1038/s44360-026-00152-8"", ""url:https://www.nature.com/articles/s44360-026-00152-8""], ""record_ids"": [""KUVUZMDU""]}]","[""KUVUZMDU""]",True,agent_qc_approved,True,True,generated/source-acquisition/codex-websearch-2026/markdown-clean/98a0f77c12e1ee6328c0.md,identified_not_screened,[],[],"[""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1038/s44360-026-00164-4,Large language models exhibit stigmatizing behaviour in contextual judgements of health conditions,10.1038/s44360-026-00164-4,2026-07-06,"[""B"", ""C""]",import_ready,"[{""record_id"": ""UFTH283E"", ""work_id"": ""work:be71f040-2a73-5980-8dc4-e7bb83aa4575"", ""version_id"": ""version:61b696cc-357e-5b21-a943-02455f394fa7""}]","[{""work_id"": ""work:be71f040-2a73-5980-8dc4-e7bb83aa4575"", ""version_id"": ""version:61b696cc-357e-5b21-a943-02455f394fa7"", ""evidence_tokens"": [""doi:10.1038/s44360-026-00164-4""], ""record_ids"": [""UFTH283E""]}]","[{""work_id"": ""work:be71f040-2a73-5980-8dc4-e7bb83aa4575"", ""version_id"": ""version:61b696cc-357e-5b21-a943-02455f394fa7"", ""evidence_tokens"": [""doi:10.1038/s44360-026-00164-4""], ""record_ids"": [""UFTH283E""]}]","[""UFTH283E""]",True,fulltext_access_not_available,False,False,,identified_not_screened,[],[],"[""acquire_or_complete_source_preparation"", ""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1080/02615479.2026.2617512,Innovating social work pedagogy: generative AI for critical competency development in evidence-based practice,10.1080/02615479.2026.2617512,2026-01-21,"[""A"", ""B""]",import_ready,"[{""record_id"": ""WHGCH3XS"", ""work_id"": ""work:14ff652e-92a8-5982-bf91-a64c26254d13"", ""version_id"": ""version:e26e796c-188a-5f12-8ed2-36f8b960f2bc""}]","[{""work_id"": ""work:14ff652e-92a8-5982-bf91-a64c26254d13"", ""version_id"": ""version:e26e796c-188a-5f12-8ed2-36f8b960f2bc"", ""evidence_tokens"": [""doi:10.1080/02615479.2026.2617512""], ""record_ids"": [""WHGCH3XS""]}]","[{""work_id"": ""work:14ff652e-92a8-5982-bf91-a64c26254d13"", ""version_id"": ""version:e26e796c-188a-5f12-8ed2-36f8b960f2bc"", ""evidence_tokens"": [""doi:10.1080/02615479.2026.2617512""], ""record_ids"": [""WHGCH3XS""]}]","[""WHGCH3XS""]",True,fulltext_access_not_available,False,False,,identified_not_screened,[],[],"[""acquire_or_complete_source_preparation"", ""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1080/02615479.2026.2631708,"Are future social workers ready for AI? Fears, barriers, and learning needs in higher education",10.1080/02615479.2026.2631708,2026-02-23,"[""A"", ""B""]",import_ready,"[{""record_id"": ""88CFIG8R"", ""work_id"": ""work:1004a5c5-f980-5475-ad36-952eab77b516"", ""version_id"": ""version:834d178c-fc76-51f3-bddf-b86e25436742""}]","[{""work_id"": ""work:1004a5c5-f980-5475-ad36-952eab77b516"", ""version_id"": ""version:834d178c-fc76-51f3-bddf-b86e25436742"", ""evidence_tokens"": [""doi:10.1080/02615479.2026.2631708""], ""record_ids"": [""88CFIG8R""]}]","[{""work_id"": ""work:1004a5c5-f980-5475-ad36-952eab77b516"", ""version_id"": ""version:834d178c-fc76-51f3-bddf-b86e25436742"", ""evidence_tokens"": [""doi:10.1080/02615479.2026.2631708""], ""record_ids"": [""88CFIG8R""]}]","[""88CFIG8R""]",True,agent_qc_approved_after_repair,True,True,generated/source-acquisition/codex-websearch-2026/markdown-repaired/4875ad9321dfcfc0aa52.md,identified_not_screened,[],[],"[""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1080/02615479.2026.2635471,Promoting AI literacy in social work education: lessons from an interdisciplinary course for social work students,10.1080/02615479.2026.2635471,2026-02-24,"[""A"", ""B""]",import_ready,"[{""record_id"": ""I7BQH4U4"", ""work_id"": ""work:68b57d67-221a-5e96-8d7b-153b4b26c91a"", ""version_id"": ""version:4963e528-6f09-54ee-bd14-3ecc26cb76ca""}]","[{""work_id"": ""work:68b57d67-221a-5e96-8d7b-153b4b26c91a"", ""version_id"": ""version:4963e528-6f09-54ee-bd14-3ecc26cb76ca"", ""evidence_tokens"": [""doi:10.1080/02615479.2026.2635471""], ""record_ids"": [""I7BQH4U4""]}]","[{""work_id"": ""work:68b57d67-221a-5e96-8d7b-153b4b26c91a"", ""version_id"": ""version:4963e528-6f09-54ee-bd14-3ecc26cb76ca"", ""evidence_tokens"": [""doi:10.1080/02615479.2026.2635471""], ""record_ids"": [""I7BQH4U4""]}]","[""I7BQH4U4""]",True,agent_qc_approved,True,True,generated/source-acquisition/codex-websearch-2026/markdown-clean/62d8ff0c669bf7e511d0.md,identified_not_screened,"[""source_uses_alternative_publication_version""]",[],"[""curate_exact_source_version_and_document_preferred_version_exception"", ""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1080/02615479.2026.2660786,Towards a framework for digital literacy in social work education in a time of artificial intelligence,10.1080/02615479.2026.2660786,2026-04-16,"[""A"", ""B""]",import_ready,"[{""record_id"": ""QRK7C3JK"", ""work_id"": ""work:ac777aa0-e02b-5a2e-8ddd-19dfdd0110ec"", ""version_id"": ""version:c2db337e-61b4-5717-bfb5-56cd6de7d117""}]","[{""work_id"": ""work:ac777aa0-e02b-5a2e-8ddd-19dfdd0110ec"", ""version_id"": ""version:c2db337e-61b4-5717-bfb5-56cd6de7d117"", ""evidence_tokens"": [""doi:10.1080/02615479.2026.2660786""], ""record_ids"": [""QRK7C3JK""]}]","[{""work_id"": ""work:ac777aa0-e02b-5a2e-8ddd-19dfdd0110ec"", ""version_id"": ""version:c2db337e-61b4-5717-bfb5-56cd6de7d117"", ""evidence_tokens"": [""doi:10.1080/02615479.2026.2660786""], ""record_ids"": [""QRK7C3JK""]}]","[""QRK7C3JK""]",True,visual_evidence_support_required,False,False,,identified_not_screened,[],[],"[""acquire_or_complete_source_preparation"", ""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1080/02615479.2026.2669634,A kind of magic? Artificial intelligence-assisted recording: developing principles for an AI-informed social work curriculum,10.1080/02615479.2026.2669634,2026-05-11,"[""A"", ""B""]",import_ready,"[{""record_id"": ""K7NW3W34"", ""work_id"": ""work:677ea395-cc39-50b4-9979-496e0f17665d"", ""version_id"": ""version:17e4bb2a-0324-58ef-97f3-0cc9cd352ab5""}]","[{""work_id"": ""work:677ea395-cc39-50b4-9979-496e0f17665d"", ""version_id"": ""version:17e4bb2a-0324-58ef-97f3-0cc9cd352ab5"", ""evidence_tokens"": [""doi:10.1080/02615479.2026.2669634""], ""record_ids"": [""K7NW3W34""]}]","[{""work_id"": ""work:677ea395-cc39-50b4-9979-496e0f17665d"", ""version_id"": ""version:17e4bb2a-0324-58ef-97f3-0cc9cd352ab5"", ""evidence_tokens"": [""doi:10.1080/02615479.2026.2669634""], ""record_ids"": [""K7NW3W34""]}]","[""K7NW3W34""]",True,agent_qc_approved_after_repair,True,True,generated/source-acquisition/codex-websearch-2026/markdown-repaired/e9fb8b7679eaf1023485.md,identified_not_screened,[],[],"[""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1080/02650533.2026.2683352,AI-enhanced ethical decision-making in social work: development and testing of an application-specific language model,10.1080/02650533.2026.2683352,2026-06-04,"[""A""]",import_ready,"[{""record_id"": ""DHKP5FGN"", ""work_id"": ""work:fb07e9e8-562c-5c51-9aa7-f1faa654c172"", ""version_id"": ""version:98b08f9c-56a3-5a66-9734-8abd00bea1fe""}]","[{""work_id"": ""work:fb07e9e8-562c-5c51-9aa7-f1faa654c172"", ""version_id"": ""version:98b08f9c-56a3-5a66-9734-8abd00bea1fe"", ""evidence_tokens"": [""doi:10.1080/02650533.2026.2683352"", ""url:https://doi.org/10.1080/02650533.2026.2683352""], ""record_ids"": [""DHKP5FGN""]}]","[{""work_id"": ""work:fb07e9e8-562c-5c51-9aa7-f1faa654c172"", ""version_id"": ""version:98b08f9c-56a3-5a66-9734-8abd00bea1fe"", ""evidence_tokens"": [""doi:10.1080/02650533.2026.2683352"", ""url:https://doi.org/10.1080/02650533.2026.2683352""], ""record_ids"": [""DHKP5FGN""]}]","[""DHKP5FGN""]",True,fulltext_access_not_available,False,False,,identified_not_screened,[],[],"[""acquire_or_complete_source_preparation"", ""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1080/0312407x.2026.2627220,AI-Generated Images of Social Workers in Healthcare and Implications for Professional Identity,10.1080/0312407x.2026.2627220,2026-04-30,"[""A"", ""B""]",import_ready,"[{""record_id"": ""9AVG53AQ"", ""work_id"": ""work:48e00f1e-369a-59d9-8883-f6d8cea1a7bc"", ""version_id"": ""version:3cc1ce6f-015b-536d-ba38-17daac2d04db""}]","[{""work_id"": ""work:48e00f1e-369a-59d9-8883-f6d8cea1a7bc"", ""version_id"": ""version:3cc1ce6f-015b-536d-ba38-17daac2d04db"", ""evidence_tokens"": [""doi:10.1080/0312407x.2026.2627220"", ""url:https://doi.org/10.1080/0312407x.2026.2627220""], ""record_ids"": [""9AVG53AQ""]}]","[{""work_id"": ""work:48e00f1e-369a-59d9-8883-f6d8cea1a7bc"", ""version_id"": ""version:3cc1ce6f-015b-536d-ba38-17daac2d04db"", ""evidence_tokens"": [""doi:10.1080/0312407x.2026.2627220"", ""url:https://doi.org/10.1080/0312407x.2026.2627220""], ""record_ids"": [""9AVG53AQ""]}]","[""9AVG53AQ""]",True,automatic_acquisition_failed,False,False,,identified_not_screened,[],[],"[""acquire_or_complete_source_preparation"", ""perform_governed_screening_and_record_AI_review_provenance""]"
